상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2017-12-20,01관,"10:00,  강철비(디지털),  7,000원","13:00,  강철비(디지털),  9,000원","16:00,  강철비(디지털),  9,000원","19:00,  강철비(디지털),  9,000원","21:50,  강철비(디지털),  9,000원",,,,130
2017-12-20,02관,"11:00,  신과함께-죄와 벌(디지털),  9,000원","13:45,  신과함께-죄와 벌(디지털),  9,000원","16:30,  신과함께-죄와 벌(디지털),  9,000원","19:15,  신과함께-죄와 벌(디지털),  17,000원","22:00,  신과함께-죄와 벌(디지털),  17,000원",,,,116
2017-12-20,03관,"09:40,  위대한 쇼맨(디지털),  7,000원","11:50,  위대한 쇼맨(디지털),  8,000원","14:00,  위대한 쇼맨(디지털),  9,000원","16:10,  위대한 쇼맨(디지털),  9,000원","18:20,  강철비(디지털),  9,000원","21:05,  강철비(디지털),  9,000원",,,77
2017-12-20,04관,"09:30,  신과함께-죄와 벌(디지털),  7,000원","12:15,  신과함께-죄와 벌(디지털),  9,000원","15:00,  신과함께-죄와 벌(디지털),  9,000원","17:45,  신과함께-죄와 벌(디지털),  9,000원","20:30,  신과함께-죄와 벌(디지털),  17,000원",,,,116
2017-12-20,05관,"10:00,  신과함께-죄와 벌(디지털),  6,000원","12:45,  신과함께-죄와 벌(디지털),  9,000원","15:30,  신과함께-죄와 벌(디지털),  9,000원","18:15,  신과함께-죄와 벌(디지털),  9,000원","21:30,  신과함께-죄와 벌(디지털),  9,000원",,,,131
2017-12-20,06관,,"11:30,  신과함께-죄와 벌(디지털),  9,000원","14:30,  신과함께-죄와 벌(디지털),  9,000원","17:15,  신과함께-죄와 벌(디지털),  9,000원","20:10,  신과함께-죄와 벌(디지털),  9,000원",,,,194
2017-12-20,07관,"10:00,  굿바이 싱글(디지털),  0원","12:25,  희생부활자(디지털),  0원","14:25,  장산범(디지털),  0원","16:30,  박열(디지털),  0원","19:05,  너의 이름은.(디지털),  0원","21:20,  라라랜드(디지털),  0원",,,106
2017-12-20,08관,"10:30,  신과함께-죄와 벌(디지털),  7,000원","13:15,  신과함께-죄와 벌(디지털),  9,000원","16:00,  신과함께-죄와 벌(디지털),  9,000원","18:45,  신과함께-죄와 벌(디지털),  9,000원","21:30,  신과함께-죄와 벌(디지털),  9,000원",,,,194
2017-12-21,01관,"09:50,  극장판 포켓몬스터 너로 정했다!(디지털더빙)","13:00,  강철비(디지털),  9,000원","16:00,  강철비(디지털),  9,000원","19:00,  강철비(디지털),  9,000원","21:50,  강철비(디지털),  9,000원",,,,130
2017-12-21,02관,"11:00,  신과함께-죄와 벌(디지털),  9,000원","13:45,  신과함께-죄와 벌(디지털),  9,000원","16:30,  신과함께-죄와 벌(디지털),  9,000원","19:15,  신과함께-죄와 벌(디지털),  9,000원","22:00,  신과함께-죄와 벌(디지털),  9,000원",,,,116
2017-12-21,03관,"10:00,  위대한 쇼맨(디지털),  7,000원","12:10,  스타워즈: 라스트 제다이(디지털)","15:10,  위대한 쇼맨(디지털),  5,000원","17:20,  스타워즈: 라스트 제다이(디지털),  9,000원","20:30,  강철비(디지털),  9,000원",,,,77
2017-12-21,04관,"09:30,  신과함께-죄와 벌(디지털),  7,000원","12:15,  신과함께-죄와 벌(디지털),  17,000원","15:00,  신과함께-죄와 벌(디지털),  17,000원","17:45,  신과함께-죄와 벌(디지털),  9,000원","20:30,  신과함께-죄와 벌(디지털),  17,000원",,,,116
2017-12-21,05관,"10:00,  신과함께-죄와 벌(디지털),  7,000원","12:45,  신과함께-죄와 벌(디지털),  9,000원","15:30,  신과함께-죄와 벌(디지털),  9,000원","18:15,  신과함께-죄와 벌(디지털),  9,000원","21:30,  신과함께-죄와 벌(디지털),  9,000원",,,,131
2017-12-21,06관,"10:10,  몬스터 패밀리(디지털더빙)","12:15,  극장판 포켓몬스터 너로 정했다!(디지털더빙)","14:30,  신과함께-죄와 벌(디지털),  9,000원","17:15,  신과함께-죄와 벌(디지털),  9,000원","20:10,  신과함께-죄와 벌(디지털),  9,000원",,,,194
2017-12-21,07관,"10:00,  보안관(디지털),  0원","12:20,  발레리나(디지털더빙)","14:15,  원라인(디지털),  0원","16:55,  발레리안: 천 개 행성의 도시(디지털),  0원","19:40,  특별시민(디지털),  0원","22:15,  청년경찰(디지털),  0원",,,106
2017-12-21,08관,"10:30,  신과함께-죄와 벌(디지털),  7,000원","13:15,  신과함께-죄와 벌(디지털),  9,000원","16:00,  신과함께-죄와 벌(디지털),  17,000원","18:45,  신과함께-죄와 벌(디지털),  9,000원","21:30,  신과함께-죄와 벌(디지털),  9,000원",,,,194
2017-12-22,01관,"09:40,  강철비(디지털),  7,000원","12:25,  강철비(디지털),  9,000원","15:10,  강철비(디지털),  9,000원","17:55,  강철비(디지털),  9,000원","20:40,  강철비(디지털),  10,000원","23:25,  강철비(디지털),  10,000원",,,130
2017-12-22,02관,"09:30,  극장판 포켓몬스터 너로 정했다!(디지털더빙)","11:35,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  10,000원","13:40,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  8,000원","15:45,  강철비(디지털),  10,000원","18:30,  강철비(디지털),  10,000원","21:15,  강철비(디지털),  10,000원","24:00,  강철비(디지털),  10,000원",,116
2017-12-22,03관,"10:40,  위대한 쇼맨(디지털),  7,000원","12:50,  스타워즈: 라스트 제다이(디지털),  10,000원","15:50,  위대한 쇼맨(디지털),  10,000원","18:00,  스타워즈: 라스트 제다이(디지털),  10,000원","21:00,  위대한 쇼맨(디지털),  10,000원","23:10,  스타워즈: 라스트 제다이(디지털),  10,000원",,,77
2017-12-22,04관,"10:40,  몬스터 패밀리(디지털더빙),  6,000원","12:40,  몬스터 패밀리(디지털더빙)","14:40,  몬스터 패밀리(디지털더빙),  10,000원","16:40,  신과함께-죄와 벌(디지털),  18,000원","19:25,  신과함께-죄와 벌(디지털),  10,000원","22:10,  신과함께-죄와 벌(디지털),  10,000원",,,116
2017-12-22,05관,"10:00,  신과함께-죄와 벌(디지털),  7,000원","12:45,  신과함께-죄와 벌(디지털),  6,000원","15:30,  신과함께-죄와 벌(디지털),  18,000원","18:15,  신과함께-죄와 벌(디지털),  8,000원","21:00,  신과함께-죄와 벌(디지털),  18,000원","23:45,  신과함께-죄와 벌(디지털),  18,000원",,,131
2017-12-22,06관,"09:30,  신과함께-죄와 벌(디지털),  6,000원","12:15,  신과함께-죄와 벌(디지털),  10,000원","15:00,  신과함께-죄와 벌(디지털),  18,000원","17:45,  신과함께-죄와 벌(디지털),  10,000원","20:30,  강철비(디지털),  10,000원","23:15,  신과함께-죄와 벌(디지털),  10,000원",,,194
2017-12-22,07관,"11:00,  신과함께-죄와 벌(디지털),  9,000원","13:45,  신과함께-죄와 벌(디지털),  9,000원","16:30,  강철비(디지털),  18,000원","19:15,  강철비(디지털),  10,000원","22:00,  신과함께-죄와 벌(디지털),  10,000원",,,,106
2017-12-22,08관,"10:30,  신과함께-죄와 벌(디지털),  7,000원","13:15,  신과함께-죄와 벌(디지털),  10,000원","16:00,  신과함께-죄와 벌(디지털),  10,000원","18:45,  신과함께-죄와 벌(디지털),  10,000원","21:40,  신과함께-죄와 벌(디지털),  10,000원",,,,194
2017-12-23,01관,"09:40,  강철비(디지털),  7,000원","12:25,  강철비(디지털),  9,000원","15:10,  강철비(디지털),  10,000원","17:55,  강철비(디지털),  10,000원","20:40,  강철비(디지털),  18,000원","23:25,  강철비(디지털),  10,000원",,,130
2017-12-23,02관,"09:30,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  7,000원","11:35,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  10,000원","13:40,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  18,000원","15:45,  강철비(디지털),  18,000원","18:30,  강철비(디지털),  18,000원","21:15,  강철비(디지털),  18,000원","24:00,  강철비(디지털),  10,000원",,116
2017-12-23,03관,"10:40,  위대한 쇼맨(디지털),  7,000원","12:50,  스타워즈: 라스트 제다이(디지털),  10,000원","15:50,  위대한 쇼맨(디지털),  10,000원","18:00,  스타워즈: 라스트 제다이(디지털),  9,000원","21:00,  위대한 쇼맨(디지털),  10,000원","23:10,  스타워즈: 라스트 제다이(디지털),  8,000원",,,77
2017-12-23,04관,"10:40,  몬스터 패밀리(디지털더빙),  7,000원","12:40,  몬스터 패밀리(디지털더빙),  10,000원","14:40,  몬스터 패밀리(디지털더빙),  18,000원","16:40,  신과함께-죄와 벌(디지털),  18,000원","19:25,  신과함께-죄와 벌(디지털),  18,000원","22:10,  신과함께-죄와 벌(디지털),  18,000원",,,116
2017-12-23,05관,"10:00,  신과함께-죄와 벌(디지털),  7,000원","12:45,  신과함께-죄와 벌(디지털),  10,000원","15:30,  신과함께-죄와 벌(디지털),  18,000원","18:15,  신과함께-죄와 벌(디지털),  10,000원","21:00,  신과함께-죄와 벌(디지털),  18,000원","23:45,  신과함께-죄와 벌(디지털),  10,000원",,,131
2017-12-23,06관,"09:30,  신과함께-죄와 벌(디지털),  7,000원","12:15,  신과함께-죄와 벌(디지털),  10,000원","15:00,  신과함께-죄와 벌(디지털),  18,000원","17:45,  신과함께-죄와 벌(디지털),  18,000원","20:30,  강철비(디지털),  10,000원","23:15,  신과함께-죄와 벌(디지털)",,,194
2017-12-23,07관,"11:00,  신과함께-죄와 벌(디지털),  9,000원","13:45,  신과함께-죄와 벌(디지털),  9,000원","16:30,  강철비(디지털),  10,000원","19:15,  강철비(디지털),  18,000원","22:00,  신과함께-죄와 벌(디지털),  18,000원",,,,106
2017-12-23,08관,"10:30,  신과함께-죄와 벌(디지털),  7,000원","13:15,  신과함께-죄와 벌(디지털),  10,000원","16:00,  신과함께-죄와 벌(디지털),  18,000원","18:45,  신과함께-죄와 벌(디지털),  10,000원","21:40,  신과함께-죄와 벌(디지털),  9,000원",,,,194
2017-12-24,01관,"09:40,  강철비(디지털),  7,000원","12:25,  강철비(디지털),  9,000원","15:10,  강철비(디지털),  10,000원","17:55,  강철비(디지털),  10,000원","20:30,  강철비(디지털),  10,000원","23:30,  강철비(디지털),  10,000원",,,130
2017-12-24,02관,"09:30,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  7,000원","11:35,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  10,000원","13:40,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  18,000원","15:45,  강철비(디지털),  18,000원","18:30,  강철비(디지털),  18,000원","21:15,  강철비(디지털),  10,000원","24:00,  강철비(디지털),  10,000원",,116
2017-12-24,03관,"09:30,  위대한 쇼맨(디지털),  7,000원","11:40,  스타워즈: 라스트 제다이(디지털),  10,000원","14:40,  위대한 쇼맨(디지털),  18,000원","16:50,  스타워즈: 라스트 제다이(디지털),  18,000원","19:50,  강철비(디지털),  18,000원","22:35,  강철비(디지털),  18,000원",,,77
2017-12-24,04관,"11:00,  신과함께-죄와 벌(디지털),  9,000원","13:45,  신과함께-죄와 벌(디지털),  10,000원","16:30,  신과함께-죄와 벌(디지털),  18,000원","19:15,  신과함께-죄와 벌(디지털),  18,000원","22:00,  신과함께-죄와 벌(디지털),  18,000원",,,,116
2017-12-24,05관,"10:00,  신과함께-죄와 벌(디지털),  7,000원","12:45,  신과함께-죄와 벌(디지털),  18,000원","15:30,  신과함께-죄와 벌(디지털),  18,000원","18:15,  신과함께-죄와 벌(디지털),  18,000원","21:00,  신과함께-죄와 벌(디지털),  18,000원","23:45,  신과함께-죄와 벌(디지털),  18,000원",,,131
2017-12-24,06관,"09:30,  신과함께-죄와 벌(디지털),  7,000원","12:15,  신과함께-죄와 벌(디지털),  18,000원","15:00,  신과함께-죄와 벌(디지털),  18,000원","17:45,  신과함께-죄와 벌(디지털),  18,000원","20:30,  신과함께-죄와 벌(디지털),  18,000원","23:15,  신과함께-죄와 벌(디지털),  18,000원",,,194
2017-12-24,07관,"10:40,  몬스터 패밀리(디지털더빙),  7,000원","12:40,  몬스터 패밀리(디지털더빙),  10,000원","14:40,  몬스터 패밀리(디지털더빙),  10,000원","17:00,  신과함께-죄와 벌(디지털),  18,000원","19:45,  신과함께-죄와 벌(디지털),  18,000원","22:30,  신과함께-죄와 벌(디지털),  18,000원",,,106
2017-12-24,08관,"10:30,  신과함께-죄와 벌(디지털),  7,000원","13:15,  신과함께-죄와 벌(디지털),  18,000원","16:00,  신과함께-죄와 벌(디지털),  18,000원","18:45,  신과함께-죄와 벌(디지털),  10,000원","21:40,  신과함께-죄와 벌(디지털),  10,000원",,,,194
2017-12-25,01관,"09:40,  강철비(디지털),  7,000원","12:25,  강철비(디지털),  9,000원","15:10,  강철비(디지털),  10,000원","17:55,  강철비(디지털),  10,000원","20:30,  강철비(디지털),  10,000원",,,,130
2017-12-25,02관,"09:30,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  7,000원","11:35,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  18,000원","13:40,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  10,000원","15:45,  강철비(디지털),  18,000원","18:30,  강철비(디지털),  18,000원","21:15,  강철비(디지털),  10,000원",,,116
2017-12-25,03관,"09:30,  위대한 쇼맨(디지털),  7,000원","11:40,  스타워즈: 라스트 제다이(디지털),  18,000원","14:40,  위대한 쇼맨(디지털),  18,000원","16:50,  스타워즈: 라스트 제다이(디지털),  10,000원","19:50,  강철비(디지털),  10,000원","22:35,  강철비(디지털),  10,000원",,,77
2017-12-25,04관,"11:00,  신과함께-죄와 벌(디지털),  10,000원","13:45,  신과함께-죄와 벌(디지털),  9,000원","16:30,  신과함께-죄와 벌(디지털),  18,000원","19:15,  신과함께-죄와 벌(디지털),  18,000원","22:00,  신과함께-죄와 벌(디지털),  10,000원",,,,116
2017-12-25,05관,"10:00,  신과함께-죄와 벌(디지털),  7,000원","12:45,  신과함께-죄와 벌(디지털),  18,000원","15:30,  신과함께-죄와 벌(디지털),  18,000원","18:15,  신과함께-죄와 벌(디지털),  18,000원","21:00,  신과함께-죄와 벌(디지털),  18,000원",,,,131
2017-12-25,06관,"09:30,  신과함께-죄와 벌(디지털),  7,000원","12:15,  신과함께-죄와 벌(디지털),  18,000원","15:00,  신과함께-죄와 벌(디지털),  18,000원","17:45,  신과함께-죄와 벌(디지털),  18,000원","20:30,  신과함께-죄와 벌(디지털),  18,000원",,,,194
2017-12-25,07관,"10:40,  몬스터 패밀리(디지털더빙),  7,000원","12:40,  몬스터 패밀리(디지털더빙),  18,000원","14:40,  몬스터 패밀리(디지털더빙),  18,000원","17:00,  신과함께-죄와 벌(디지털),  18,000원","19:45,  신과함께-죄와 벌(디지털),  18,000원","22:30,  신과함께-죄와 벌(디지털),  10,000원",,,106
2017-12-25,08관,"10:30,  신과함께-죄와 벌(디지털),  7,000원","13:15,  신과함께-죄와 벌(디지털),  18,000원","16:00,  신과함께-죄와 벌(디지털),  18,000원","18:45,  신과함께-죄와 벌(디지털),  10,000원","21:40,  신과함께-죄와 벌(디지털),  10,000원",,,,194
2017-12-26,01관,"09:45,  강철비(디지털),  7,000원","12:30,  강철비(디지털),  9,000원","15:15,  강철비(디지털),  9,000원","18:00,  강철비(디지털),  9,000원","20:45,  강철비(디지털),  9,000원",,,,130
2017-12-26,02관,"10:00,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  7,000원","12:05,  극장판 포켓몬스터 너로 정했다!(디지털더빙)","14:10,  극장판 포켓몬스터 너로 정했다!(디지털더빙),  9,000원","16:15,  강철비(디지털),  9,000원","19:00,  강철비(디지털),  9,000원","21:45,  강철비(디지털),  9,000원",,,116
2017-12-26,03관,"09:50,  스타워즈: 라스트 제다이(디지털),  7,000원","12:50,  스타워즈: 라스트 제다이(디지털),  9,000원","15:50,  몬스터 패밀리(디지털더빙),  9,000원","17:50,  위대한 쇼맨(디지털),  9,000원","20:00,  위대한 쇼맨(디지털),  9,000원","22:10,  위대한 쇼맨(디지털),  9,000원",,,77
2017-12-26,04관,"09:30,  신과함께-죄와 벌(디지털),  7,000원","12:15,  신과함께-죄와 벌(디지털),  17,000원","15:00,  신과함께-죄와 벌(디지털),  17,000원","17:45,  신과함께-죄와 벌(디지털),  9,000원","20:30,  신과함께-죄와 벌(디지털),  9,000원",,,,116
2017-12-26,05관,"11:00,  신과함께-죄와 벌(디지털),  7,000원","13:45,  신과함께-죄와 벌(디지털),  17,000원","16:30,  신과함께-죄와 벌(디지털),  9,000원","19:15,  신과함께-죄와 벌(디지털),  17,000원","22:00,  신과함께-죄와 벌(디지털),  17,000원",,,,131
2017-12-26,06관,"10:30,  신과함께-죄와 벌(디지털),  7,000원","13:15,  신과함께-죄와 벌(디지털),  9,000원","16:00,  신과함께-죄와 벌(디지털),  17,000원","18:45,  신과함께-죄와 벌(디지털),  9,000원","21:30,  신과함께-죄와 벌(디지털),  9,000원",,,,194
2017-12-26,07관,"10:30,  몬스터 패밀리(디지털더빙),  4,000원","12:30,  몬스터 패밀리(디지털더빙),  9,000원","14:30,  신과함께-죄와 벌(디지털),  9,000원","17:15,  신과함께-죄와 벌(디지털),  17,000원","20:00,  신과함께-죄와 벌(디지털),  17,000원",,,,106
2017-12-26,08관,"10:00,  신과함께-죄와 벌(디지털),  7,000원","12:45,  신과함께-죄와 벌(디지털),  9,000원","15:30,  신과함께-죄와 벌(디지털),  9,000원","18:15,  신과함께-죄와 벌(디지털),  9,000원","21:00,  신과함께-죄와 벌(디지털),  17,000원",,,,194
2017-12-27,01관,"09:50,  강철비(디지털),  7,000원","12:35,  강철비(디지털),  9,000원","15:20,  강철비(디지털),  9,000원","18:05,  강철비(디지털),  9,000원","20:50,  강철비(디지털),  9,000원",,,,130
2017-12-27,02관,"10:40,  1987(디지털),  7,000원","13:15,  1987(디지털),  9,000원","15:50,  1987(디지털),  9,000원","18:25,  1987(디지털),  9,000원","21:00,  1987(디지털),  9,000원",,,,116
2017-12-27,03관,"09:30,  스타워즈: 라스트 제다이(디지털),  7,000원","12:30,  위대한 쇼맨(디지털),  7,000원","14:40,  위대한 쇼맨(디지털),  9,000원","16:50,  1987(디지털),  9,000원","19:25,  1987(디지털),  17,000원","22:00,  1987(디지털),  17,000원",,,77
2017-12-27,04관,"09:30,  신과함께-죄와 벌(디지털),  7,000원","12:15,  신과함께-죄와 벌(디지털),  9,000원","15:00,  신과함께-죄와 벌(디지털),  17,000원","17:45,  신과함께-죄와 벌(디지털),  9,000원","20:30,  신과함께-죄와 벌(디지털),  9,000원",,,,116
2017-12-27,05관,"10:10,  신과함께-죄와 벌(디지털),  7,000원","12:55,  신과함께-죄와 벌(디지털),  9,000원","15:40,  신과함께-죄와 벌(디지털),  9,000원","18:25,  신과함께-죄와 벌(디지털),  9,000원","21:10,  신과함께-죄와 벌(디지털),  9,000원",,,,131
2017-12-27,06관,"10:10,  1987(디지털),  7,000원","12:45,  1987(디지털),  9,000원","15:20,  1987(디지털),  9,000원","17:55,  1987(디지털),  8,000원","20:30,  1987(디지털),  9,000원",,,,194
2017-12-27,07관,"09:40,  1987(디지털),  7,000원","12:15,  1987(디지털),  17,000원","14:50,  1987(디지털),  9,000원","17:25,  1987(디지털),  9,000원","20:00,  1987(디지털),  9,000원",,,,106
2017-12-27,08관,"10:50,  신과함께-죄와 벌(디지털),  7,000원","13:35,  신과함께-죄와 벌(디지털),  9,000원","16:20,  신과함께-죄와 벌(디지털),  9,000원","19:05,  신과함께-죄와 벌(디지털),  9,000원","21:50,  신과함께-죄와 벌(디지털),  9,000원",,,,194
2017-12-28,01관,"09:50,  강철비(디지털),  6,000원","12:35,  강철비(디지털),  9,000원","15:20,  강철비(디지털),  9,000원","18:05,  강철비(디지털),  9,000원","20:50,  강철비(디지털),  9,000원",,,,130
2017-12-28,02관,"10:40,  1987(디지털),  6,000원","13:15,  1987(디지털),  9,000원","15:50,  1987(디지털),  9,000원","18:25,  1987(디지털),  9,000원","21:00,  1987(디지털),  9,000원",,,,116
2017-12-28,03관,"09:30,  일주일간 친구(디지털),  6,000원","11:55,  위대한 쇼맨(디지털),  9,000원","14:05,  위대한 쇼맨(디지털),  9,000원","16:25,  1987(디지털),  9,000원","19:00,  1987(디지털),  9,000원","21:35,  1987(디지털),  9,000원",,,77
2017-12-28,04관,"09:30,  신과함께-죄와 벌(디지털),  6,000원","12:15,  신과함께-죄와 벌(디지털),  8,000원","15:00,  신과함께-죄와 벌(디지털),  9,000원","17:45,  신과함께-죄와 벌(디지털),  9,000원","20:30,  신과함께-죄와 벌(디지털),  17,000원",,,,116
2017-12-28,05관,"10:10,  신과함께-죄와 벌(디지털),  7,000원","12:55,  신과함께-죄와 벌(디지털),  9,000원","15:40,  신과함께-죄와 벌(디지털),  9,000원","18:25,  신과함께-죄와 벌(디지털),  9,000원","21:10,  신과함께-죄와 벌(디지털),  9,000원",,,,131
2017-12-28,06관,"10:10,  1987(디지털),  6,000원","12:45,  1987(디지털),  9,000원","15:20,  1987(디지털),  9,000원","17:55,  1987(디지털),  9,000원","20:30,  1987(디지털),  9,000원",,,,194
2017-12-28,07관,"09:40,  1987(디지털),  6,000원","12:15,  1987(디지털),  7,000원","14:50,  1987(디지털),  9,000원","17:25,  1987(디지털),  9,000원","20:00,  1987(디지털),  9,000원",,,,106
2017-12-28,08관,"10:50,  신과함께-죄와 벌(디지털),  8,000원","13:35,  신과함께-죄와 벌(디지털),  9,000원","16:20,  신과함께-죄와 벌(디지털),  9,000원","19:05,  신과함께-죄와 벌(디지털),  9,000원","21:50,  신과함께-죄와 벌(디지털),  9,000원",,,,194
2017-12-29,01관,"09:50,  강철비(디지털),  6,000원","12:35,  강철비(디지털),  10,000원","15:20,  강철비(디지털),  10,000원","18:05,  강철비(디지털),  10,000원","20:50,  강철비(디지털),  10,000원","23:35,  강철비(디지털),  10,000원",,,130
2017-12-29,02관,"10:50,  1987(디지털),  6,000원","13:25,  1987(디지털),  10,000원","16:00,  1987(디지털),  10,000원","18:35,  1987(디지털),  10,000원","21:10,  1987(디지털),  10,000원","23:45,  1987(디지털),  10,000원",,,116
2017-12-29,03관,"10:10,  일주일간 친구(디지털),  6,000원","12:35,  위대한 쇼맨(디지털),  10,000원","14:45,  위대한 쇼맨(디지털),  10,000원","17:00,  신과함께-죄와 벌(디지털),  10,000원","19:45,  신과함께-죄와 벌(디지털),  10,000원","22:30,  신과함께-죄와 벌(디지털),  10,000원",,,77
2017-12-29,04관,"09:30,  신과함께-죄와 벌(디지털),  6,000원","12:15,  신과함께-죄와 벌(디지털),  10,000원","15:00,  신과함께-죄와 벌(디지털),  10,000원","17:45,  신과함께-죄와 벌(디지털),  10,000원","20:30,  신과함께-죄와 벌(디지털),  10,000원","23:15,  신과함께-죄와 벌(디지털),  10,000원",,,116
2017-12-29,05관,"10:20,  1987(디지털),  6,000원","12:55,  1987(디지털),  10,000원","15:30,  1987(디지털),  10,000원","18:05,  1987(디지털),  10,000원","20:40,  1987(디지털),  10,000원","23:25,  1987(디지털),  8,000원",,,131
2017-12-29,06관,"10:10,  신과함께-죄와 벌(디지털),  8,000원","12:55,  신과함께-죄와 벌(디지털),  10,000원","15:40,  신과함께-죄와 벌(디지털),  10,000원","18:25,  신과함께-죄와 벌(디지털),  10,000원","21:10,  신과함께-죄와 벌(디지털),  10,000원","23:55,  신과함께-죄와 벌(디지털),  10,000원",,,194
2017-12-29,07관,"09:50,  1987(디지털),  6,000원","12:25,  1987(디지털),  10,000원","15:00,  1987(디지털),  10,000원","17:35,  1987(디지털),  10,000원","20:10,  1987(디지털),  10,000원","22:45,  1987(디지털),  10,000원",,,106
2017-12-29,08관,"10:50,  신과함께-죄와 벌(디지털),  6,000원","13:35,  신과함께-죄와 벌(디지털),  10,000원","16:20,  신과함께-죄와 벌(디지털),  10,000원","19:05,  신과함께-죄와 벌(디지털),  10,000원","21:50,  신과함께-죄와 벌(디지털),  10,000원",,,,194
2017-12-30,01관,"09:50,  강철비(디지털),  8,000원","12:35,  강철비(디지털),  10,000원","15:20,  강철비(디지털),  10,000원","18:05,  강철비(디지털),  10,000원","20:50,  강철비(디지털),  10,000원","23:35,  강철비(디지털),  10,000원",,,130
2017-12-30,02관,"11:00,  1987(디지털),  6,000원","13:35,  1987(디지털),  10,000원","16:10,  1987(디지털),  10,000원","18:45,  1987(디지털),  10,000원","21:20,  1987(디지털),  10,000원","23:55,  1987(디지털),  10,000원",,,116
2017-12-30,03관,"10:10,  일주일간 친구(디지털),  6,000원","12:35,  위대한 쇼맨(디지털),  10,000원","14:45,  위대한 쇼맨(디지털),  10,000원","16:55,  강철비(디지털),  10,000원","19:40,  강철비(디지털),  10,000원","22:25,  강철비(디지털),  10,000원",,,77
2017-12-30,04관,"09:55,  1987(디지털),  6,000원","12:30,  1987(디지털),  10,000원","15:05,  1987(디지털),  10,000원","17:40,  1987(디지털),  10,000원","20:15,  1987(디지털),  10,000원","22:50,  1987(디지털),  10,000원",,,116
2017-12-30,05관,"09:30,  신과함께-죄와 벌(디지털),  6,000원","12:15,  신과함께-죄와 벌(디지털),  10,000원","15:00,  신과함께-죄와 벌(디지털),  10,000원","17:45,  신과함께-죄와 벌(디지털),  10,000원","20:30,  신과함께-죄와 벌(디지털),  10,000원","23:15,  신과함께-죄와 벌(디지털),  10,000원",,,131
2017-12-30,06관,"10:00,  신과함께-죄와 벌(디지털),  6,000원","12:45,  신과함께-죄와 벌(디지털),  10,000원","15:30,  신과함께-죄와 벌(디지털),  10,000원","18:15,  신과함께-죄와 벌(디지털),  10,000원","21:00,  신과함께-죄와 벌(디지털),  10,000원","23:45,  신과함께-죄와 벌(디지털),  10,000원",,,194
2017-12-30,07관,"10:30,  신과함께-죄와 벌(디지털),  6,000원","13:15,  신과함께-죄와 벌(디지털),  10,000원","16:00,  신과함께-죄와 벌(디지털),  10,000원","18:45,  신과함께-죄와 벌(디지털),  10,000원","21:30,  신과함께-죄와 벌(디지털),  10,000원",,,,106
2017-12-30,08관,"11:00,  신과함께-죄와 벌(디지털),  6,000원","13:45,  신과함께-죄와 벌(디지털),  10,000원","16:30,  신과함께-죄와 벌(디지털),  10,000원","19:15,  신과함께-죄와 벌(디지털),  10,000원","22:00,  신과함께-죄와 벌(디지털),  10,000원",,,,194
2017-12-31,01관,"09:50,  강철비(디지털),  6,000원","12:35,  강철비(디지털),  10,000원","15:20,  강철비(디지털),  10,000원","18:05,  강철비(디지털),  10,000원","20:50,  강철비(디지털),  10,000원","23:35,  강철비(디지털),  10,000원",,,130
2017-12-31,02관,"11:00,  1987(디지털),  6,000원","13:35,  1987(디지털),  10,000원","16:10,  1987(디지털),  10,000원","18:45,  1987(디지털),  10,000원","21:20,  1987(디지털),  10,000원","23:55,  1987(디지털),  10,000원",,,116
2017-12-31,03관,"10:10,  일주일간 친구(디지털),  6,000원","12:35,  위대한 쇼맨(디지털),  10,000원","14:45,  위대한 쇼맨(디지털),  10,000원","16:55,  강철비(디지털),  10,000원","19:40,  강철비(디지털),  10,000원","22:25,  강철비(디지털),  10,000원",,,77
2017-12-31,04관,"09:55,  1987(디지털),  8,000원","12:30,  1987(디지털),  10,000원","15:05,  1987(디지털),  10,000원","17:40,  1987(디지털),  10,000원","20:15,  1987(디지털),  10,000원","22:50,  1987(디지털),  10,000원",,,116
2017-12-31,05관,"09:30,  신과함께-죄와 벌(디지털),  6,000원","12:15,  신과함께-죄와 벌(디지털),  10,000원","15:00,  신과함께-죄와 벌(디지털),  10,000원","17:45,  신과함께-죄와 벌(디지털),  10,000원","20:30,  신과함께-죄와 벌(디지털),  10,000원","23:15,  신과함께-죄와 벌(디지털),  10,000원",,,131
