상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-03,05관,"09:55,  더 테너 리리코 스핀토(디지털),  6,000원","12:10,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:10,  국제시장(디지털),  9,000원","19:40,  국제시장(디지털),  9,000원","22:05,  국제시장(디지털),  9,000원",,,210
2015-01-03,06관,"10:25,  국제시장(디지털),  6,500원","12:50,  국제시장(디지털),  9,000원","15:20,  국제시장(디지털),  9,000원","17:50,  국제시장(디지털),  9,000원","20:20,  국제시장(디지털),  9,000원","23:00,  국제시장(디지털),  9,000원",,,200
2015-01-04,01관,"09:50,  마다가스카의 펭귄(디지털더빙),  6,000원","12:20,  마다가스카의 펭귄(디지털더빙),  9,000원","14:25,  마다가스카의 펭귄(디지털더빙),  9,000원","16:20,  호빗: 다섯 군대 전투(디지털),  9,000원","19:10,  호빗: 다섯 군대 전투(디지털),  9,000원","21:55,  호빗: 다섯 군대 전투(디지털),  9,000원",,,137
2015-01-04,02관,"10:05,  님아, 그 강을 건너지 마오(디지털),  7,000원","11:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:35,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:15,  님아, 그 강을 건너지 마오(디지털),  9,000원",,137
2015-01-04,03관,"10:00,  테이큰 3(디지털),  6,000원","12:15,  테이큰 3(디지털),  9,000원","14:30,  테이큰 3(디지털),  9,000원","16:40,  테이큰 3(디지털),  9,000원","18:55,  테이큰 3(디지털),  9,000원","21:20,  테이큰 3(디지털),  9,000원",,,137
2015-01-04,04관,"10:20,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","12:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  9,000원","13:50,  기술자들(디지털),  9,000원","16:10,  기술자들(디지털),  9,000원","18:30,  기술자들(디지털),  9,000원","20:55,  기술자들(디지털),  9,000원",,,137
2015-01-04,05관,"09:55,  더 테너 리리코 스핀토(디지털),  6,000원","12:10,  국제시장(디지털),  9,000원","14:50,  국제시장(디지털),  9,000원","17:10,  국제시장(디지털),  9,000원","19:40,  국제시장(디지털),  9,000원","22:05,  국제시장(디지털),  9,000원",,,210
2015-01-04,06관,"10:25,  국제시장(디지털),  7,000원","12:50,  국제시장(디지털),  9,000원","15:20,  국제시장(디지털),  9,000원","17:50,  국제시장(디지털),  9,000원","20:20,  국제시장(디지털),  9,000원",,,,200
2015-01-05,01관,"09:50,  마다가스카의 펭귄(디지털더빙),  6,000원","12:20,  마다가스카의 펭귄(디지털더빙),  9,000원","14:25,  마다가스카의 펭귄(디지털더빙),  9,000원","16:20,  호빗: 다섯 군대 전투(디지털),  9,000원","19:10,  호빗: 다섯 군대 전투(디지털),  9,000원","21:55,  호빗: 다섯 군대 전투(디지털),  9,000원",,,137
2015-01-05,02관,"10:05,  님아, 그 강을 건너지 마오(디지털),  6,000원","11:50,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","15:35,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","19:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","21:15,  님아, 그 강을 건너지 마오(디지털),  9,000원",,137
