상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2015-12-03,01관,"11:20,  아더와 미니모이 3: 두 세계의 전쟁(디지털더빙),  0원","13:30,  파더 앤 도터(디지털),  0원","15:30,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  0원",,,,,,,,,104
2015-12-03,02관,"11:45,  레전드(디지털),  0원","14:30,  그놈이다(디지털),  0원",,,,,,,,,,110
2015-12-03,03관,"12:00,  사도(디지털),  0원","14:35,  극비수사(디지털),  0원",,,,,,,,,,109
2015-12-03,04관,"11:40,  뷰티 인사이드(디지털),  0원","14:25,  미쓰 와이프(디지털),  0원",,,,,,,,,,159
2015-12-03,05관,"12:20,  베테랑(디지털),  0원",,,,,,,,,,,268
2015-12-03,06관(SCREENX),"11:30,  진격의 거인: 자유의 날개(디지털),  0원","14:10,  인턴(디지털),  0원",,,,,,,,,,172
2015-12-03,07관,"11:50,  탐정 : 더 비기닝(디지털),  0원","14:30,  특종: 량첸살인기(디지털),  0원",,,,,,,,,,172
2015-12-04,01관,"09:40,  시카리오: 암살자의 도시(디지털),  6,000원","12:10,  맥베스(디지털),  10,000원","14:35,  시카리오: 암살자의 도시(디지털),  10,000원","17:10,  맥베스(디지털),  8,000원","19:35,  내부자들(디지털),  10,000원","22:15,  맥베스(디지털),  10,000원",,,,,,104
2015-12-04,02관,"08:40,  하트 오브 더 씨(디지털),  6,000원","11:15,  하트 오브 더 씨(디지털),  10,000원","13:50,  하트 오브 더 씨(디지털),  10,000원","16:20,  하트 오브 더 씨(디지털),  9,000원","18:50,  하트 오브 더 씨(디지털),  10,000원","21:20,  하트 오브 더 씨(디지털),  10,000원","23:50,  검은 사제들(디지털),  10,000원",,,,,110
2015-12-04,03관,"09:10,  사우스포(디지털),  6,000원","11:45,  괴물의 아이(디지털더빙),  10,000원","14:15,  사우스포(디지털),  6,000원","16:50,  극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE(디지털더빙),  9,000원","18:20,  열정같은소리하고있네(디지털),  10,000원","20:40,  사우스포(디지털),  10,000원","23:20,  극적인 하룻밤(디지털),  10,000원",,,,,109
2015-12-04,04관,"09:00,  극적인 하룻밤(디지털),  6,000원","11:20,  극적인 하룻밤(디지털),  8,000원","13:35,  극적인 하룻밤(디지털),  10,000원","15:50,  극적인 하룻밤(디지털),  10,000원","18:05,  극적인 하룻밤(디지털),  10,000원","20:20,  극적인 하룻밤(디지털),  10,000원","22:35,  극적인 하룻밤(디지털),  10,000원",,,,,159
2015-12-04,05관,"09:45,  내부자들(디지털),  6,000원","12:20,  내부자들(디지털),  10,000원","15:00,  내부자들(디지털),  10,000원","17:40,  내부자들(디지털),  10,000원","20:15,  내부자들(디지털),  10,000원","23:00,  내부자들(디지털),  10,000원",,,,,,268
2015-12-04,06관(SCREENX),"08:30,  내부자들(디지털),  6,000원","11:05,  내부자들(디지털),  10,000원","13:40,  내부자들(디지털),  10,000원","16:15,  내부자들(디지털),  10,000원","18:55,  내부자들(디지털),  10,000원","21:30,  내부자들(디지털),  10,000원","24:05,  내부자들(디지털),  10,000원",,,,,172
2015-12-04,07관,"08:35,  열정같은소리하고있네(디지털),  6,000원","10:50,  검은 사제들(디지털),  10,000원","13:05,  열정같은소리하고있네(디지털),  10,000원","15:20,  검은 사제들(디지털),  10,000원","17:35,  열정같은소리하고있네(디지털),  10,000원","19:50,  검은 사제들(디지털),  10,000원","22:05,  열정같은소리하고있네(디지털),  10,000원",,,,,172
2015-12-05,01관,"09:10,  시카리오: 암살자의 도시(디지털),  7,000원","11:45,  맥베스(디지털),  10,000원","14:10,  내부자들(디지털),  10,000원","16:55,  맥베스(디지털),  10,000원","19:20,  내부자들(디지털),  10,000원","22:05,  내부자들(디지털),  10,000원","24:45,  시카리오: 암살자의 도시(디지털),  10,000원",,,,,104
2015-12-05,02관,"09:30,  하트 오브 더 씨(디지털),  6,000원","12:00,  하트 오브 더 씨(디지털),  10,000원","14:30,  하트 오브 더 씨(디지털),  10,000원","17:00,  하트 오브 더 씨(디지털),  10,000원","19:30,  하트 오브 더 씨(디지털),  10,000원","22:00,  하트 오브 더 씨(디지털),  10,000원","24:30,  하트 오브 더 씨(디지털),  10,000원",,,,,110
2015-12-05,03관,"08:30,  괴물의 아이(디지털),  9,000원","10:55,  극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE(디지털더빙),  10,000원","12:30,  극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE(디지털더빙),  10,000원","14:00,  괴물의 아이(디지털더빙),  8,300원","16:30,  극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE(디지털더빙),  10,000원","18:00,  사우스포(디지털),  9,000원","20:35,  사우스포(디지털),  8,000원","23:05,  사우스포(디지털),  10,000원",,,,109
2015-12-05,04관,"08:20,  극적인 하룻밤(디지털),  7,000원","10:35,  극적인 하룻밤(디지털),  10,000원","12:50,  극적인 하룻밤(디지털),  9,000원","15:05,  극적인 하룻밤(디지털),  10,000원","17:20,  극적인 하룻밤(디지털),  10,000원","19:35,  극적인 하룻밤(디지털),  10,000원","21:50,  극적인 하룻밤(디지털),  10,000원","24:05,  극적인 하룻밤(디지털),  10,000원",,,,159
2015-12-05,05관,"09:40,  내부자들(디지털),  6,000원","12:20,  내부자들(디지털),  10,000원","15:00,  내부자들(디지털),  10,000원","17:40,  내부자들(디지털),  10,000원","20:20,  내부자들(디지털),  10,000원","23:00,  내부자들(디지털),  10,000원",,,,,,268
2015-12-05,06관(SCREENX),"08:00,  내부자들(디지털),  6,000원","10:40,  내부자들(디지털),  10,000원","13:20,  내부자들(디지털),  10,000원","16:00,  내부자들(디지털),  10,000원","18:40,  내부자들(디지털),  10,000원","21:20,  내부자들(디지털),  10,000원","24:00,  내부자들(디지털),  10,000원",,,,,172
2015-12-05,07관,"09:00,  검은 사제들(디지털),  7,000원","11:15,  열정같은소리하고있네(디지털),  10,000원","13:30,  검은 사제들(디지털),  10,000원","15:50,  열정같은소리하고있네(디지털),  10,000원","18:10,  검은 사제들(디지털),  10,000원","20:25,  열정같은소리하고있네(디지털),  10,000원","22:40,  검은 사제들(디지털),  10,000원","25:00,  열정같은소리하고있네(디지털),  10,000원",,,,172
2015-12-06,01관,"09:10,  시카리오: 암살자의 도시(디지털),  6,000원","11:45,  맥베스(디지털),  10,000원","14:10,  내부자들(디지털),  10,000원","16:55,  맥베스(디지털),  10,000원","19:20,  내부자들(디지털),  10,000원","22:05,  내부자들(디지털),  10,000원","24:45,  시카리오: 암살자의 도시(디지털),  10,000원",,,,,104
2015-12-06,02관,"09:30,  하트 오브 더 씨(디지털),  6,000원","12:00,  하트 오브 더 씨(디지털),  10,000원","14:30,  하트 오브 더 씨(디지털),  10,000원","17:00,  하트 오브 더 씨(디지털),  10,000원","19:30,  하트 오브 더 씨(디지털),  10,000원","22:00,  하트 오브 더 씨(디지털),  10,000원","24:30,  하트 오브 더 씨(디지털)",,,,,110
2015-12-06,03관,"08:30,  괴물의 아이(디지털),  7,000원","10:55,  극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE(디지털더빙),  10,000원","12:30,  극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE(디지털더빙),  10,000원","14:00,  괴물의 아이(디지털더빙),  10,000원","16:30,  극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE(디지털더빙),  10,000원","18:00,  사우스포(디지털),  8,000원","20:35,  사우스포(디지털),  10,000원","23:05,  사우스포(디지털),  6,000원",,,,109
2015-12-06,04관,"08:20,  극적인 하룻밤(디지털),  6,000원","10:35,  극적인 하룻밤(디지털),  10,000원","12:50,  극적인 하룻밤(디지털),  10,000원","15:05,  극적인 하룻밤(디지털),  10,000원","17:20,  극적인 하룻밤(디지털),  10,000원","19:35,  극적인 하룻밤(디지털),  10,000원","21:50,  극적인 하룻밤(디지털),  10,000원","24:05,  극적인 하룻밤(디지털),  8,000원",,,,159
2015-12-06,05관,"09:40,  내부자들(디지털),  6,000원","12:20,  괴물의 아이(디지털더빙),  10,000원","15:00,  내부자들(디지털),  10,000원","17:40,  내부자들(디지털),  10,000원","20:20,  내부자들(디지털),  10,000원","23:00,  내부자들(디지털),  10,000원",,,,,,268
2015-12-06,06관(SCREENX),"08:00,  내부자들(디지털),  7,000원","10:40,  내부자들(디지털),  10,000원","13:20,  내부자들(디지털),  10,000원","16:00,  내부자들(디지털),  10,000원","18:40,  내부자들(디지털),  10,000원","21:20,  내부자들(디지털),  10,000원","24:00,  내부자들(디지털),  10,000원",,,,,172
2015-12-06,07관,"09:00,  검은 사제들(디지털),  6,000원","11:15,  열정같은소리하고있네(디지털),  10,000원","13:30,  검은 사제들(디지털),  10,000원","15:50,  열정같은소리하고있네(디지털),  10,000원","18:10,  검은 사제들(디지털),  10,000원","20:25,  열정같은소리하고있네(디지털),  10,000원","22:40,  검은 사제들(디지털),  10,000원","25:00,  열정같은소리하고있네(디지털),  10,000원",,,,172
2015-12-07,01관,"09:40,  맥베스(디지털),  6,000원","12:05,  시카리오: 암살자의 도시(디지털),  7,000원","14:40,  맥베스(디지털),  8,000원","17:05,  시카리오: 암살자의 도시(디지털),  9,000원","19:40,  내부자들(디지털),  9,000원","22:20,  맥베스(디지털),  9,000원",,,,,,104
2015-12-07,02관,"08:40,  하트 오브 더 씨(디지털),  6,000원","11:15,  하트 오브 더 씨(디지털),  7,000원","13:50,  하트 오브 더 씨(디지털),  7,000원","16:20,  하트 오브 더 씨(디지털),  9,000원","18:50,  하트 오브 더 씨(디지털),  9,000원","21:20,  하트 오브 더 씨(디지털),  8,000원","23:50,  검은 사제들(디지털),  7,000원",,,,,110
2015-12-07,03관,"09:10,  사우스포(디지털)","11:45,  괴물의 아이(디지털더빙),  9,000원","14:15,  사우스포(디지털),  9,000원","16:50,  극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE(디지털더빙),  9,000원","18:20,  괴물의 아이(디지털),  8,000원","20:50,  열정같은소리하고있네(디지털),  9,000원","23:10,  괴물의 아이(디지털),  9,000원",,,,,109
2015-12-07,04관,"09:00,  극적인 하룻밤(디지털),  7,000원","11:20,  극적인 하룻밤(디지털)","13:35,  극적인 하룻밤(디지털),  9,000원","15:50,  극적인 하룻밤(디지털),  9,000원","18:05,  극적인 하룻밤(디지털),  9,000원","20:20,  극적인 하룻밤(디지털),  8,000원","22:35,  극적인 하룻밤(디지털),  7,000원",,,,,159
2015-12-07,05관,"09:45,  내부자들(디지털),  6,000원","12:20,  내부자들(디지털),  9,000원","15:00,  내부자들(디지털),  9,000원","17:40,  내부자들(디지털),  9,000원","20:15,  내부자들(디지털),  9,000원","23:00,  내부자들(디지털),  9,000원",,,,,,268
2015-12-07,06관(SCREENX),"08:30,  내부자들(디지털),  6,000원","11:05,  내부자들(디지털),  8,000원","13:40,  내부자들(디지털),  9,000원","16:15,  내부자들(디지털),  9,000원","18:55,  내부자들(디지털),  9,000원","21:30,  내부자들(디지털),  9,000원","24:05,  내부자들(디지털),  9,000원",,,,,172
2015-12-07,07관,"08:35,  열정같은소리하고있네(디지털),  6,000원","10:50,  검은 사제들(디지털),  9,000원","13:05,  열정같은소리하고있네(디지털)","15:20,  검은 사제들(디지털),  9,000원","17:35,  열정같은소리하고있네(디지털),  7,000원","19:50,  검은 사제들(디지털),  9,000원","22:15,  내부자들(디지털),  9,000원",,,,,172
2015-12-08,01관,"09:40,  맥베스(디지털),  6,000원","12:05,  시카리오: 암살자의 도시(디지털),  6,000원","14:40,  맥베스(디지털),  9,000원","17:05,  시카리오: 암살자의 도시(디지털),  9,000원","19:40,  내부자들(디지털),  9,000원","22:20,  맥베스(디지털),  9,000원",,,,,,104
2015-12-08,02관,"08:40,  하트 오브 더 씨(디지털),  6,000원","11:15,  하트 오브 더 씨(디지털),  9,000원","13:50,  하트 오브 더 씨(디지털),  7,000원","16:20,  하트 오브 더 씨(디지털),  9,000원","18:50,  하트 오브 더 씨(디지털),  9,000원","21:20,  하트 오브 더 씨(디지털),  9,000원","23:50,  검은 사제들(디지털),  9,000원",,,,,110
2015-12-08,03관,"09:10,  사우스포(디지털)","11:45,  괴물의 아이(디지털더빙)","14:15,  사우스포(디지털),  9,000원","16:50,  극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE(디지털더빙),  7,000원","18:20,  괴물의 아이(디지털),  8,000원","20:50,  열정같은소리하고있네(디지털),  7,000원","23:10,  괴물의 아이(디지털),  7,000원",,,,,109
2015-12-08,04관,"09:00,  극적인 하룻밤(디지털),  6,000원","11:20,  극적인 하룻밤(디지털),  9,000원","13:35,  극적인 하룻밤(디지털),  9,000원","15:50,  극적인 하룻밤(디지털),  7,000원","18:05,  극적인 하룻밤(디지털),  4,000원","20:20,  극적인 하룻밤(디지털),  9,000원","22:35,  극적인 하룻밤(디지털),  9,000원",,,,,159
2015-12-08,05관,"09:45,  내부자들(디지털),  9,000원","12:20,  내부자들(디지털),  9,000원","15:00,  내부자들(디지털),  9,000원","17:40,  내부자들(디지털),  9,000원","20:15,  내부자들(디지털),  9,000원","23:00,  내부자들(디지털),  9,000원",,,,,,268
2015-12-08,06관(SCREENX),"08:30,  내부자들(디지털),  6,000원","11:05,  내부자들(디지털),  9,000원","13:40,  내부자들(디지털),  9,000원","16:15,  내부자들(디지털),  9,000원","18:55,  내부자들(디지털),  9,000원","21:30,  내부자들(디지털),  9,000원","24:05,  내부자들(디지털),  9,000원",,,,,172
2015-12-08,07관,"08:35,  열정같은소리하고있네(디지털)","10:50,  검은 사제들(디지털),  9,000원","13:05,  열정같은소리하고있네(디지털),  9,000원","15:20,  검은 사제들(디지털),  9,000원","17:35,  열정같은소리하고있네(디지털),  9,000원","19:50,  검은 사제들(디지털),  9,000원","22:15,  내부자들(디지털),  9,000원",,,,,172
2015-12-09,01관,"09:40,  맥베스(디지털),  6,000원","12:05,  시카리오: 암살자의 도시(디지털),  9,000원","14:40,  맥베스(디지털),  9,000원","17:05,  시카리오: 암살자의 도시(디지털),  9,000원","19:40,  내부자들(디지털),  9,000원","22:20,  맥베스(디지털),  9,000원",,,,,,104
2015-12-09,02관,"09:30,  하트 오브 더 씨(디지털),  6,000원","12:00,  하트 오브 더 씨(디지털)","14:30,  하트 오브 더 씨(디지털),  6,000원","17:00,  하트 오브 더 씨(디지털),  9,000원","19:30,  하트 오브 더 씨(디지털),  9,000원","22:00,  하트 오브 더 씨(디지털),  9,000원",,,,,,110
2015-12-09,03관,"09:10,  사우스포(디지털)","11:45,  괴물의 아이(디지털더빙),  6,000원","14:15,  사우스포(디지털),  9,000원","16:50,  극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE(디지털더빙),  7,000원","18:20,  괴물의 아이(디지털),  9,000원","20:50,  열정같은소리하고있네(디지털),  9,000원","23:10,  괴물의 아이(디지털),  9,000원",,,,,109
2015-12-09,04관,"09:00,  극적인 하룻밤(디지털),  6,000원","11:20,  극적인 하룻밤(디지털),  7,000원","13:35,  극적인 하룻밤(디지털),  8,000원","15:50,  극적인 하룻밤(디지털),  7,000원","18:05,  극적인 하룻밤(디지털),  9,000원","20:20,  극적인 하룻밤(디지털),  9,000원","22:35,  극적인 하룻밤(디지털),  0원",,,,,159
2015-12-09,05관,"09:45,  내부자들(디지털),  9,000원","12:20,  내부자들(디지털),  9,000원","15:00,  내부자들(디지털),  9,000원","17:40,  내부자들(디지털),  9,000원","20:15,  내부자들(디지털),  9,000원","23:00,  내부자들(디지털),  9,000원",,,,,,268
2015-12-09,06관(SCREENX),"08:30,  내부자들(디지털),  6,000원","11:05,  내부자들(디지털),  9,000원","13:40,  내부자들(디지털),  9,000원","16:15,  내부자들(디지털),  9,000원","18:55,  내부자들(디지털),  9,000원","21:30,  내부자들(디지털),  9,000원","24:05,  내부자들(디지털),  9,000원",,,,,172
2015-12-09,07관,"08:35,  열정같은소리하고있네(디지털),  6,000원","10:50,  검은 사제들(디지털),  9,000원","13:05,  열정같은소리하고있네(디지털),  7,000원","15:20,  검은 사제들(디지털),  9,000원","17:35,  열정같은소리하고있네(디지털),  9,000원","19:50,  검은 사제들(디지털),  9,000원","22:15,  내부자들(디지털),  9,000원",,,,,172
2015-12-10,01관,"08:40,  타이밍(디지털),  6,000원","10:45,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  9,000원","12:15,  타이밍(디지털),  6,000원","14:25,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  9,000원","16:00,  타이밍(디지털),  7,000원","18:10,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  9,000원","19:40,  타이밍(디지털),  9,000원","21:50,  열정같은소리하고있네(디지털),  9,000원","24:05,  열정같은소리하고있네(디지털)",,,104
2015-12-10,02관,"09:20,  검은 사제들(디지털),  6,000원","11:35,  극적인 하룻밤(디지털),  9,000원","13:50,  검은 사제들(디지털),  8,000원","16:05,  극적인 하룻밤(디지털),  8,000원","18:20,  검은 사제들(디지털),  9,000원","20:35,  극적인 하룻밤(디지털),  9,000원","22:50,  검은 사제들(디지털),  9,000원",,,,,110
2015-12-10,03관,"09:50,  맥베스(디지털),  6,000원","12:10,  괴물의 아이(디지털)","14:40,  맥베스(디지털),  7,000원","17:00,  괴물의 아이(디지털더빙),  9,000원","19:30,  내부자들(디지털),  9,000원","22:10,  내부자들(디지털),  9,000원",,,,,,109
2015-12-10,04관,"09:40,  파더 앤 도터(디지털),  6,000원","11:40,  레전드(디지털),  9,000원","14:20,  파더 앤 도터(디지털),  7,000원","16:20,  레전드(디지털),  9,000원","19:00,  파더 앤 도터(디지털),  7,000원","21:00,  레전드(디지털),  9,000원","23:40,  파더 앤 도터(디지털),  9,000원",,,,,159
2015-12-10,05관,"08:30,  내부자들(디지털),  6,000원","11:05,  내부자들(디지털),  9,000원","13:40,  내부자들(디지털),  9,000원","16:15,  내부자들(디지털),  9,000원","18:50,  내부자들(디지털),  9,000원","21:25,  내부자들(디지털),  9,000원","24:00,  내부자들(디지털),  9,000원",,,,,268
2015-12-10,06관(SCREENX),"10:00,  아더와 미니모이 3: 두 세계의 전쟁(디지털더빙),  6,000원","12:20,  내부자들(디지털),  9,000원","15:00,  내부자들(디지털),  9,000원","17:40,  내부자들(디지털),  9,000원","20:20,  내부자들(디지털),  9,000원","23:00,  내부자들(디지털),  9,000원",,,,,,172
2015-12-10,07관,"08:45,  이터널 선샤인(디지털)","11:00,  하트 오브 더 씨(디지털),  8,000원","13:30,  이터널 선샤인(디지털),  9,000원","15:45,  하트 오브 더 씨(디지털),  9,000원","18:15,  이터널 선샤인(디지털),  9,000원","20:30,  하트 오브 더 씨(디지털),  9,000원","23:05,  이터널 선샤인(디지털),  9,000원",,,,,172
2015-12-11,01관,"08:50,  타이밍(디지털),  6,000원","10:55,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  8,000원","12:30,  타이밍(디지털),  9,000원","14:35,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","16:05,  타이밍(디지털)","18:15,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","19:45,  열정같은소리하고있네(디지털),  10,000원","22:00,  열정같은소리하고있네(디지털),  8,000원","24:15,  맥베스(디지털),  8,000원",,,104
2015-12-11,02관,"09:00,  검은 사제들(디지털),  6,000원","11:15,  극적인 하룻밤(디지털),  8,000원","13:35,  검은 사제들(디지털),  10,000원","15:50,  극적인 하룻밤(디지털),  8,000원","18:10,  검은 사제들(디지털),  10,000원","20:25,  극적인 하룻밤(디지털),  10,000원","22:45,  검은 사제들(디지털),  10,000원","25:00,  검은 사제들(디지털),  10,000원",,,,110
2015-12-11,03관,"09:50,  맥베스(디지털),  6,000원","12:15,  괴물의 아이(디지털)","14:40,  맥베스(디지털),  10,000원","17:00,  괴물의 아이(디지털더빙),  9,000원","19:30,  내부자들(디지털),  10,000원","22:10,  내부자들(디지털),  10,000원","24:50,  레전드(디지털),  8,000원",,,,,109
2015-12-11,04관,"09:10,  레전드(디지털),  6,000원","11:50,  파더 앤 도터(디지털),  8,000원","13:50,  레전드(디지털),  10,000원","16:30,  파더 앤 도터(디지털),  10,000원","18:30,  레전드(디지털),  10,000원","21:10,  레전드(디지털),  10,000원","23:50,  레전드(디지털),  10,000원",,,,,159
2015-12-11,05관,"08:30,  내부자들(디지털),  6,000원","11:05,  내부자들(디지털),  10,000원","13:40,  내부자들(디지털),  10,000원","16:15,  내부자들(디지털),  10,000원","18:50,  내부자들(디지털),  10,000원","21:25,  내부자들(디지털),  10,000원","24:00,  내부자들(디지털),  9,000원",,,,,268
2015-12-11,06관(SCREENX),"09:45,  내부자들(디지털),  6,000원","12:25,  내부자들(디지털),  10,000원","15:05,  내부자들(디지털),  10,000원","17:45,  내부자들(디지털),  8,000원","20:30,  내부자들(디지털),  10,000원","23:10,  내부자들(디지털),  10,000원",,,,,,172
2015-12-11,07관,"08:35,  이터널 선샤인(디지털),  7,000원","10:50,  하트 오브 더 씨(디지털),  10,000원","13:20,  이터널 선샤인(디지털),  10,000원","15:35,  하트 오브 더 씨(디지털),  10,000원","18:05,  이터널 선샤인(디지털),  9,000원","20:20,  하트 오브 더 씨(디지털),  10,000원","22:50,  이터널 선샤인(디지털),  10,000원","25:05,  이터널 선샤인(디지털),  8,000원",,,,172
2015-12-12,01관,"09:25,  괴물의 아이(디지털더빙),  5,000원",,"12:15,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","13:45,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","15:15,  괴물의 아이(디지털),  10,000원","17:45,  괴물의 아이(디지털더빙),  10,000원","20:15,  타이밍(디지털),  10,000원","22:25,  열정같은소리하고있네(디지털),  10,000원","24:40,  타이밍(디지털),  8,000원",,,104
2015-12-12,02관,"08:50,  검은 사제들(디지털),  6,000원","11:05,  극적인 하룻밤(디지털),  8,000원","13:20,  검은 사제들(디지털),  10,000원","15:35,  극적인 하룻밤(디지털),  10,000원","17:50,  검은 사제들(디지털),  10,000원","20:05,  극적인 하룻밤(디지털),  10,000원","22:20,  검은 사제들(디지털),  10,000원","24:35,  검은 사제들(디지털),  8,000원",,,,110
2015-12-12,03관,"09:30,  괴물의 아이(디지털더빙),  9,000원","12:00,  괴물의 아이(디지털),  10,000원","14:25,  맥베스(디지털),  10,000원","16:40,  괴물의 아이(디지털더빙),  10,000원","19:10,  내부자들(디지털),  10,000원","21:50,  내부자들(디지털),  10,000원","24:30,  하트 오브 더 씨(디지털),  10,000원",,,,,109
2015-12-12,04관,"10:00,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  7,000원","11:30,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","13:00,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","14:30,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","16:00,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","17:35,  파더 앤 도터(디지털),  10,000원","19:35,  레전드(디지털),  10,000원","22:15,  레전드(디지털),  10,000원","24:55,  레전드(디지털),  8,000원",,,159
2015-12-12,05관,"09:40,  내부자들(디지털),  6,000원","12:10,  내부자들(디지털),  10,000원","14:50,  내부자들(디지털),  10,000원","17:30,  내부자들(디지털),  10,000원","20:10,  내부자들(디지털),  10,000원","22:50,  내부자들(디지털),  10,000원",,,,,,268
2015-12-12,06관(SCREENX),"08:10,  내부자들(디지털),  6,000원","10:50,  내부자들(디지털),  10,000원","13:30,  내부자들(디지털),  10,000원","16:05,  내부자들(디지털),  10,000원","18:45,  내부자들(디지털),  10,000원","21:25,  내부자들(디지털),  10,000원","24:05,  내부자들(디지털),  8,000원",,,,,172
2015-12-12,07관,"09:10,  이터널 선샤인(디지털),  6,000원","11:25,  하트 오브 더 씨(디지털),  10,000원","14:00,  이터널 선샤인(디지털),  10,000원","16:20,  하트 오브 더 씨(디지털),  10,000원","18:50,  이터널 선샤인(디지털),  10,000원","21:05,  하트 오브 더 씨(디지털),  10,000원","23:35,  이터널 선샤인(디지털),  10,000원",,,,,172
2015-12-13,01관,"08:20,  괴물의 아이(디지털),  6,000원","10:45,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","12:15,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","13:45,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","15:15,  괴물의 아이(디지털더빙),  10,000원","17:45,  괴물의 아이(디지털),  10,000원","20:15,  열정같은소리하고있네(디지털),  10,000원","22:30,  타이밍(디지털),  6,000원",,,,104
2015-12-13,02관,"08:50,  검은 사제들(디지털),  6,000원","11:05,  극적인 하룻밤(디지털),  10,000원","13:20,  검은 사제들(디지털),  10,000원","15:35,  극적인 하룻밤(디지털),  8,000원","17:50,  검은 사제들(디지털),  10,000원","20:05,  극적인 하룻밤(디지털),  10,000원","22:20,  검은 사제들(디지털),  10,000원",,,,,110
2015-12-13,03관,"09:30,  맥베스(디지털),  6,000원","11:50,  괴물의 아이(디지털),  10,000원","14:15,  맥베스(디지털),  10,000원","16:40,  괴물의 아이(디지털더빙),  8,000원","19:10,  내부자들(디지털),  10,000원","21:50,  내부자들(디지털),  8,000원","24:30,  하트 오브 더 씨(디지털),  8,000원",,,,,109
2015-12-13,04관,"10:00,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  6,000원","11:30,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","13:00,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","14:30,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","16:00,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  10,000원","17:35,  파더 앤 도터(디지털),  10,000원","19:35,  레전드(디지털),  10,000원","22:15,  레전드(디지털),  8,000원",,,,159
2015-12-13,05관,"09:40,  내부자들(디지털),  6,000원","12:20,  내부자들(디지털),  10,000원","15:00,  내부자들(디지털),  10,000원","17:40,  내부자들(디지털),  10,000원","20:20,  내부자들(디지털),  10,000원","23:00,  내부자들(디지털),  8,000원",,,,,,268
2015-12-13,06관(SCREENX),"08:10,  내부자들(디지털),  6,000원","10:50,  내부자들(디지털),  10,000원","13:30,  내부자들(디지털),  10,000원","16:05,  내부자들(디지털),  10,000원","18:45,  내부자들(디지털),  10,000원","21:25,  내부자들(디지털),  10,000원","24:05,  내부자들(디지털),  10,000원",,,,,172
2015-12-13,07관,"09:10,  이터널 선샤인(디지털),  6,000원","11:25,  하트 오브 더 씨(디지털),  10,000원","14:00,  이터널 선샤인(디지털),  10,000원","16:20,  하트 오브 더 씨(디지털),  10,000원","18:50,  이터널 선샤인(디지털),  10,000원","21:05,  하트 오브 더 씨(디지털),  10,000원","23:35,  이터널 선샤인(디지털),  10,000원",,,,,172
2015-12-14,01관,"08:30,  타이밍(디지털)","10:40,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  9,000원","12:15,  타이밍(디지털)","14:20,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  9,000원","15:50,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  9,000원","17:20,  뽀로로 극장판 컴퓨터 왕국 대모험(디지털),  8,000원","18:50,  열정같은소리하고있네(디지털),  8,000원","21:05,  열정같은소리하고있네(디지털),  8,000원","23:25,  타이밍(디지털)",,,104
2015-12-14,02관,"08:40,  검은 사제들(디지털),  6,000원","10:55,  극적인 하룻밤(디지털),  8,000원","13:15,  검은 사제들(디지털),  7,000원","15:30,  극적인 하룻밤(디지털),  7,000원","17:50,  검은 사제들(디지털),  9,000원","20:05,  극적인 하룻밤(디지털),  9,000원","22:25,  검은 사제들(디지털),  9,000원",,,,,110
