상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-06,02관,"10:30,  테이큰 3(디지털),  6,000원","12:35,  테이큰 3(디지털),  8,000원","14:40,  테이큰 3(디지털),  8,000원","16:45,  테이큰 3(디지털),  8,000원","18:50,  테이큰 3(디지털),  8,000원","21:00,  테이큰 3(디지털),  8,000원",,,94
2015-01-06,03관,"11:00,  상의원(디지털),  6,000원","13:20,  호빗: 다섯 군대 전투(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:40,  님아, 그 강을 건너지 마오(디지털),  8,000원","19:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,106
2015-01-06,04관,"11:00,  기술자들(디지털),  6,000원","13:20,  기술자들(디지털),  7,000원","15:40,  기술자들(디지털),  8,000원","18:00,  기술자들(디지털),  8,000원","20:30,  기술자들(디지털),  8,000원",,,,128
2015-01-07,01관,"11:00,  국제시장(디지털),  6,000원","13:30,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:30,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,287
2015-01-07,02관,"10:30,  워킹걸(디지털),  4,000원","12:35,  워킹걸(디지털),  8,000원","14:40,  워킹걸(디지털)","16:45,  테이큰 3(디지털),  8,000원","18:50,  테이큰 3(디지털),  8,000원","21:00,  테이큰 3(디지털),  8,000원",,,94
2015-01-07,03관,"10:30,  패딩턴(디지털더빙),  6,000원","12:20,  패딩턴(디지털더빙),  8,000원","14:10,  패딩턴(디지털더빙),  8,000원","16:00,  언브로큰(디지털),  4,000원","18:30,  언브로큰(디지털),  6,000원","21:00,  언브로큰(디지털),  8,000원",,,106
2015-01-07,04관,"11:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","12:40,  님아, 그 강을 건너지 마오(디지털)","14:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:40,  님아, 그 강을 건너지 마오(디지털)","19:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  기술자들(디지털),  8,000원",,128
2015-01-08,01관,"11:00,  국제시장(디지털),  6,000원","13:30,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:30,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원",,,,287
2015-01-08,02관,"10:30,  워킹걸(디지털)","12:35,  워킹걸(디지털)","14:40,  워킹걸(디지털)","16:45,  테이큰 3(디지털),  8,000원","18:50,  테이큰 3(디지털),  8,000원","21:00,  테이큰 3(디지털),  8,000원",,,94
2015-01-08,03관,"10:30,  패딩턴(디지털더빙),  6,000원","12:20,  패딩턴(디지털더빙),  8,000원","14:10,  패딩턴(디지털더빙),  8,000원","16:00,  언브로큰(디지털),  8,000원","18:30,  언브로큰(디지털),  8,000원","21:00,  언브로큰(디지털),  8,000원",,,106
2015-01-08,04관,"11:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","12:40,  님아, 그 강을 건너지 마오(디지털),  8,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:40,  님아, 그 강을 건너지 마오(디지털)","19:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  기술자들(디지털),  8,000원",,128
2015-01-09,01관,"11:00,  국제시장(디지털),  6,000원","13:30,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:30,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원","23:30,  국제시장(디지털),  6,000원",,,287
2015-01-09,02관,"10:30,  워킹걸(디지털)","12:35,  워킹걸(디지털)","14:40,  워킹걸(디지털),  6,000원","16:45,  테이큰 3(디지털),  8,000원","18:50,  테이큰 3(디지털),  7,000원","21:00,  테이큰 3(디지털),  8,000원","23:00,  테이큰 3(디지털),  6,000원",,94
2015-01-09,03관,"10:30,  패딩턴(디지털더빙),  6,000원","12:20,  패딩턴(디지털더빙),  8,000원","14:10,  패딩턴(디지털더빙),  8,000원","16:00,  언브로큰(디지털),  8,000원","18:30,  언브로큰(디지털),  8,000원","21:00,  언브로큰(디지털),  8,000원","23:30,  언브로큰(디지털),  6,000원",,106
2015-01-09,04관,"11:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","12:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:40,  님아, 그 강을 건너지 마오(디지털),  6,000원","19:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:00,  기술자들(디지털),  8,000원","23:30,  기술자들(디지털)",128
2015-01-10,01관,"11:00,  국제시장(디지털),  6,000원","13:30,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:30,  국제시장(디지털),  8,000원","21:00,  국제시장(디지털),  8,000원","23:30,  국제시장(디지털),  6,000원",,,287
