상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-04,02관,"10:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:50,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","20:10,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:50,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,100
2015-01-04,03관,"10:20,  기술자들(디지털),  5,000원","12:50,  기술자들(디지털),  7,000원","15:20,  마다가스카의 펭귄(디지털더빙),  7,000원","17:20,  기술자들(디지털),  7,000원","19:35,  기술자들(디지털),  7,000원","21:50,  기술자들(디지털),  7,000원",,,,162
2015-01-04,05관,"10:00,  마다가스카의 펭귄(디지털더빙),  5,000원","12:20,  마다가스카의 펭귄(디지털더빙),  7,000원","14:10,  국제시장(디지털),  7,000원","16:30,  국제시장(디지털),  7,000원","18:50,  국제시장(디지털),  7,000원","21:10,  국제시장(디지털),  7,000원",,,,224
2015-01-04,06관,"10:00,  호빗: 다섯 군대 전투(디지털),  5,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원",,"14:10,  상의원(디지털),  7,000원","16:30,  개를 훔치는 완벽한 방법(디지털),  7,000원","18:50,  상의원(디지털),  7,000원","21:10,  개를 훔치는 완벽한 방법(디지털),  7,000원",,,85
2015-01-04,07관,"10:00,  테이큰 3(디지털),  5,000원","13:10,  테이큰 3(디지털),  7,000원","15:20,  테이큰 3(디지털),  7,000원","17:30,  테이큰 3(디지털),  7,000원","19:40,  테이큰 3(디지털),  7,000원","21:50,  테이큰 3(디지털),  7,000원",,,,108
2015-01-04,08관,"10:20,  국제시장(디지털),  5,000원","12:40,  국제시장(디지털),  7,000원","15:00,  국제시장(디지털),  7,000원","17:20,  국제시장(디지털),  7,000원","19:40,  국제시장(디지털),  7,000원","22:00,  국제시장(디지털),  7,000원",,,,245
2015-01-05,02관,"10:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:50,  님아, 그 강을 건너지 마오(디지털),  6,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:30,  님아, 그 강을 건너지 마오(디지털),  6,000원","18:20,  님아, 그 강을 건너지 마오(디지털)","20:10,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:50,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,100
2015-01-05,03관,"10:20,  기술자들(디지털),  4,000원","12:50,  기술자들(디지털),  0원","15:20,  마다가스카의 펭귄(디지털더빙),  4,000원","17:20,  기술자들(디지털),  7,000원","19:35,  기술자들(디지털),  7,000원","21:50,  기술자들(디지털),  6,000원",,,,162
2015-01-05,05관,"10:00,  테이큰 3(디지털),  5,000원","13:10,  테이큰 3(디지털),  7,000원","15:20,  테이큰 3(디지털),  7,000원","17:30,  테이큰 3(디지털),  7,000원","19:40,  테이큰 3(디지털),  7,000원","21:50,  테이큰 3(디지털),  7,000원",,,,224
2015-01-05,06관,"10:00,  호빗: 다섯 군대 전투(디지털),  5,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원",,"14:10,  상의원(디지털),  7,000원","16:30,  개를 훔치는 완벽한 방법(디지털),  6,000원","18:50,  상의원(디지털),  7,000원","21:10,  개를 훔치는 완벽한 방법(디지털),  7,000원",,,85
2015-01-05,07관,"10:00,  마다가스카의 펭귄(디지털더빙),  5,000원","12:20,  마다가스카의 펭귄(디지털더빙),  6,000원","16:30,  국제시장(디지털),  7,000원","18:50,  국제시장(디지털),  7,000원","21:10,  국제시장(디지털),  7,000원",,,,,108
2015-01-05,08관,"10:20,  국제시장(디지털),  5,000원","12:40,  국제시장(디지털),  7,000원","15:00,  국제시장(디지털),  7,000원","17:20,  국제시장(디지털),  7,000원","19:40,  국제시장(디지털),  7,000원","22:00,  국제시장(디지털)",,,,245
2015-01-06,02관,"10:30,  님아, 그 강을 건너지 마오(디지털),  4,000원","12:50,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","20:10,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:50,  님아, 그 강을 건너지 마오(디지털)",,,100
2015-01-06,03관,"10:20,  기술자들(디지털),  5,000원","12:50,  기술자들(디지털),  7,000원","15:20,  마다가스카의 펭귄(디지털더빙),  7,000원","17:20,  기술자들(디지털),  6,000원","19:35,  기술자들(디지털),  7,000원","21:50,  기술자들(디지털)",,,,162
2015-01-06,05관,"10:00,  테이큰 3(디지털),  5,000원","13:10,  테이큰 3(디지털)","15:20,  테이큰 3(디지털),  7,000원","17:30,  테이큰 3(디지털),  7,000원","19:40,  테이큰 3(디지털),  6,000원","21:50,  테이큰 3(디지털),  7,000원",,,,224
2015-01-06,06관,"10:00,  호빗: 다섯 군대 전투(디지털),  5,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원",,"14:10,  상의원(디지털),  7,000원","16:30,  개를 훔치는 완벽한 방법(디지털),  7,000원","18:50,  상의원(디지털),  7,000원","21:10,  개를 훔치는 완벽한 방법(디지털),  7,000원",,,85
2015-01-06,07관,"10:00,  마다가스카의 펭귄(디지털더빙),  5,000원","12:20,  마다가스카의 펭귄(디지털더빙),  7,000원","16:30,  국제시장(디지털),  7,000원","18:50,  국제시장(디지털),  7,000원","21:10,  국제시장(디지털),  7,000원",,,,,108
2015-01-06,08관,"10:20,  국제시장(디지털),  5,000원","12:40,  국제시장(디지털),  7,000원","15:00,  국제시장(디지털),  7,000원","17:20,  국제시장(디지털),  7,000원","19:40,  국제시장(디지털),  7,000원","22:00,  국제시장(디지털),  7,000원",,,,245
2015-01-07,02관,"10:30,  님아, 그 강을 건너지 마오(디지털),  4,000원","12:50,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","20:10,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:50,  님아, 그 강을 건너지 마오(디지털)",,,100
2015-01-07,03관,"10:00,  국제시장(디지털),  5,000원","13:00,  기술자들(디지털),  6,000원","15:20,  기술자들(디지털),  4,000원","17:20,  기술자들(디지털),  7,000원","19:35,  기술자들(디지털),  7,000원","21:50,  기술자들(디지털),  7,000원",,,,162
2015-01-07,05관,"10:50,  테이큰 3(디지털),  5,000원","13:10,  테이큰 3(디지털),  7,000원","15:20,  테이큰 3(디지털),  7,000원","17:30,  테이큰 3(디지털),  7,000원","19:40,  테이큰 3(디지털),  7,000원","21:50,  테이큰 3(디지털),  7,000원",,,,224
2015-01-07,06관,"10:00,  마다가스카의 펭귄(디지털더빙),  4,000원","11:40,  패딩턴(디지털더빙),  4,000원","13:30,  워킹걸(디지털),  7,000원","15:50,  마다가스카의 펭귄(디지털더빙),  6,000원","17:30,  패딩턴(디지털더빙),  4,000원","19:20,  워킹걸(디지털),  7,000원","21:40,  워킹걸(디지털),  7,000원",,,85
2015-01-07,07관,"10:00,  언브로큰(디지털),  5,000원","13:00,  언브로큰(디지털),  4,000원","15:40,  언브로큰(디지털),  0원","18:20,  언브로큰(디지털),  7,000원","21:00,  언브로큰(디지털),  7,000원",,,,,108
2015-01-07,08관,,"12:40,  국제시장(디지털),  7,000원","15:00,  국제시장(디지털),  7,000원","17:20,  국제시장(디지털),  7,000원","19:40,  국제시장(디지털),  7,000원","22:00,  국제시장(디지털),  7,000원",,,,245
2015-01-08,02관,"10:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:50,  님아, 그 강을 건너지 마오(디지털),  4,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:30,  님아, 그 강을 건너지 마오(디지털),  6,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","20:10,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:50,  님아, 그 강을 건너지 마오(디지털)",,,100
2015-01-08,03관,"10:30,  국제시장(디지털),  5,000원","13:40,  국제시장(디지털),  7,000원","16:00,  국제시장(디지털),  7,000원","18:20,  국제시장(디지털),  6,000원","20:40,  국제시장(디지털),  7,000원",,,,,162
2015-01-08,05관,"10:50,  테이큰 3(디지털),  5,000원","13:10,  테이큰 3(디지털),  7,000원","15:20,  테이큰 3(디지털),  6,000원","17:30,  테이큰 3(디지털),  0원","19:40,  테이큰 3(디지털),  7,000원","21:50,  테이큰 3(디지털),  7,000원",,,,224
2015-01-08,06관,"10:00,  기술자들(디지털),  5,000원","12:10,  패딩턴(디지털더빙),  7,000원","14:00,  패딩턴(디지털더빙),  4,000원","16:00,  기술자들(디지털),  7,000원","18:20,  워킹걸(디지털),  7,000원","21:00,  워킹걸(디지털),  7,000원",,,,85
2015-01-08,07관,"10:00,  언브로큰(디지털),  5,000원","13:00,  언브로큰(디지털),  7,000원","15:40,  언브로큰(디지털),  6,000원","18:20,  언브로큰(디지털),  7,000원","21:00,  언브로큰(디지털),  7,000원",,,,,108
2015-01-08,08관,"10:20,  마다가스카의 펭귄(디지털더빙),  5,000원","12:10,  마다가스카의 펭귄(디지털더빙),  4,000원",,"17:20,  국제시장(디지털),  7,000원","19:40,  국제시장(디지털),  7,000원","22:00,  국제시장(디지털),  7,000원",,,,245
2015-01-09,02관,"10:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:50,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  4,000원","16:30,  님아, 그 강을 건너지 마오(디지털),  4,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  0원","20:10,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:50,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,100
2015-01-09,03관,"10:30,  기술자들(디지털),  5,000원","13:40,  기술자들(디지털),  7,000원","16:00,  국제시장(디지털),  7,000원","18:20,  기술자들(디지털),  7,000원","20:40,  국제시장(디지털),  7,000원",,,,,162
2015-01-09,05관,"10:50,  테이큰 3(디지털),  5,000원","13:10,  테이큰 3(디지털),  7,000원","15:20,  테이큰 3(디지털),  7,000원","17:30,  테이큰 3(디지털),  7,000원","19:40,  테이큰 3(디지털),  7,000원","21:50,  테이큰 3(디지털),  7,000원",,,,224
2015-01-09,06관,"10:30,  마다가스카의 펭귄(디지털더빙),  4,000원","12:10,  패딩턴(디지털더빙),  6,000원","14:00,  워킹걸(디지털),  7,000원","16:20,  마다가스카의 펭귄(디지털더빙),  4,000원","18:00,  패딩턴(디지털더빙),  7,000원","19:50,  워킹걸(디지털),  7,000원","22:00,  워킹걸(디지털),  7,000원",,,85
2015-01-09,07관,"10:00,  언브로큰(디지털),  5,000원","13:00,  언브로큰(디지털),  4,000원","15:40,  언브로큰(디지털),  6,000원","18:20,  언브로큰(디지털),  7,000원","21:00,  언브로큰(디지털),  7,000원",,,,,108
2015-01-09,08관,"10:20,  국제시장(디지털),  5,000원","12:40,  국제시장(디지털),  7,000원","15:00,  국제시장(디지털),  7,000원","17:20,  국제시장(디지털),  7,000원","19:40,  국제시장(디지털),  7,000원","22:00,  국제시장(디지털),  7,000원",,,,245
2015-01-10,02관,"10:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:50,  마다가스카의 펭귄(디지털더빙),  6,000원","14:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","20:10,  님아, 그 강을 건너지 마오(디지털),  7,000원","21:50,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,100
2015-01-10,03관,"10:30,  기술자들(디지털),  5,000원","13:40,  기술자들(디지털),  4,000원","16:00,  국제시장(디지털),  7,000원","18:20,  기술자들(디지털),  7,000원","20:40,  국제시장(디지털),  7,000원",,,,,162
2015-01-10,05관,"10:50,  테이큰 3(디지털),  5,000원","13:10,  테이큰 3(디지털),  7,000원","15:20,  테이큰 3(디지털),  7,000원","17:30,  테이큰 3(디지털),  7,000원","19:40,  테이큰 3(디지털),  7,000원","21:50,  테이큰 3(디지털),  7,000원",,,,224
