상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2018-12-30,03관,"10:00,  PMC: 더 벙커(디지털),  8,000원","12:30,  PMC: 더 벙커(디지털),  11,000원","15:00,  PMC: 더 벙커(디지털),  12,000원","17:30,  PMC: 더 벙커(디지털),  12,000원","20:00,  PMC: 더 벙커(디지털),  12,000원","22:30,  PMC: 더 벙커(디지털),  10,000원",,,,,196
2018-12-30,04관,"09:20,  그린치(디지털더빙),  8,000원","11:15,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  11,000원","13:15,  그린치(디지털더빙),  12,000원","15:10,  마약왕(디지털),  12,000원","18:05,  아쿠아맨(디지털),  12,000원","20:55,  마약왕(디지털),  12,000원","23:40,  스윙키즈(디지털),  6,000원",,,,106
2018-12-30,05관,"08:45,  PMC: 더 벙커(디지털),  8,000원","11:15,  PMC: 더 벙커(디지털),  9,000원","13:45,  PMC: 더 벙커(디지털),  12,000원","16:15,  PMC: 더 벙커(디지털),  12,000원","18:45,  PMC: 더 벙커(디지털),  12,000원","21:15,  PMC: 더 벙커(디지털),  12,000원","23:45,  PMC: 더 벙커(디지털),  10,000원",,,,158
2018-12-30,06관,"08:50,  아쿠아맨(디지털),  8,000원","11:40,  아쿠아맨(디지털),  11,000원","14:30,  아쿠아맨(디지털),  12,000원","17:20,  아쿠아맨(디지털),  12,000원","20:10,  아쿠아맨(디지털),  12,000원","23:00,  아쿠아맨(디지털),  10,000원",,,,,265
2018-12-30,07관,"09:40,  범블비(디지털),  8,000원","12:00,  범블비(디지털),  11,000원","14:20,  범블비(디지털),  12,000원","16:40,  범블비(디지털),  12,000원","19:00,  범블비(디지털),  12,000원","21:20,  범블비(디지털),  12,000원","23:40,  범블비(디지털),  10,000원",,,,83
2018-12-30,08관,"09:55,  스윙키즈(디지털),  8,000원","12:40,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  11,000원","14:45,  스윙키즈(디지털),  12,000원","17:25,  스윙키즈(디지털),  12,000원","20:05,  스윙키즈(디지털),  12,000원","22:45,  마약왕(디지털),  12,000원",,,,,98
2018-12-30,09관,"09:10,  보헤미안 랩소디(디지털),  8,000원","11:50,  보헤미안 랩소디(디지털),  11,000원","14:30,  보헤미안 랩소디(디지털),  12,000원","17:10,  보헤미안 랩소디(디지털),  12,000원","19:50,  보헤미안 랩소디(디지털),  12,000원","22:30,  보헤미안 랩소디(디지털),  12,000원",,,,,37
2018-12-31,01관,"09:55,  PMC: 더 벙커(디지털),  7,000원","12:25,  PMC: 더 벙커(디지털),  8,000원","15:00,  PMC: 더 벙커(디지털),  10,000원","17:30,  PMC: 더 벙커(디지털),  10,000원","20:00,  PMC: 더 벙커(디지털),  10,000원","22:30,  PMC: 더 벙커(디지털),  10,000원",,,,,185
2018-12-31,02관,"10:30,  아쿠아맨(디지털),  8,000원","13:20,  아쿠아맨(디지털),  10,000원","16:10,  스윙키즈(디지털),  10,000원","18:50,  아쿠아맨(디지털),  10,000원","21:40,  스윙키즈(디지털),  10,000원",,,,,,106
2018-12-31,03관,"08:30,  아쿠아맨(디지털),  7,000원","11:20,  아쿠아맨(디지털),  8,000원","14:10,  아쿠아맨(디지털),  10,000원","17:00,  아쿠아맨(디지털),  10,000원","19:50,  아쿠아맨(디지털),  10,000원","22:40,  아쿠아맨(디지털),  10,000원",,,,,196
