순위,영화명,개봉일,매출액 ,매출액점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,신과함께-죄와 벌,2017.12.20,"115,706,080,137",6.4%,"115,706,080,137","14,411,502","14,411,502","1,912","213,262",한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈,오희준,이준혁,유수빈,윤지온,임철수,나철,강길우"
2,신과함께-인과 연,2018.8.1,"102,666,146,909",5.7%,"102,666,146,909","12,274,996","12,274,996","2,235","179,981",한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준,도경수,이준혁,이수봉,이용희,이우주,이우주,이준혁,이지향,이지향,이지혜,김지안,김철구,김태준,안용우,김학충,노남석,장재욱,전종석,박지선,박찬영,정진영,정지훈,권훈,권수정,김대근,김대현,김동욱,김민석,안지호,강민,조한철,임철수,민무제,강신철,홍기준,장광"
3,택시운전사,2017.8.2,"95,868,830,649",5.3%,"95,868,830,649","12,189,195","12,189,195","1,906","184,145",한국,한국,더램프(주),(주)쇼박스,15세이상관람가,드라마,장훈,"이수민,송강호,토마스 크레취만,유해진,류준열,박혁권,최귀화,이창섭,이호균,서정우,송병철,안용우,오석규,윤석진,이새별,이성호,이정은,이주영,황민형,김신웅,김진상,김화목,문광식,차순배,김대현,서현우,이봉련"
4,공조,2017.1.18,"63,783,303,326",3.5%,"63,783,303,326","7,817,654","7,817,654","1,392","142,991",한국,한국,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",씨제이이앤엠(주),15세이상관람가,액션,김성훈,"현빈,유해진,김주혁,장영남,이해영,윤아,이동휘,박형수,서은지,신유철,이재남,공정환,김준한,신문성,엄효섭"
5,1987,2017.12.27,"58,169,776,145",3.2%,"58,169,776,145","7,232,387","7,232,387","1,299","138,226",한국,한국,(주)우정필름,씨제이이앤엠(주),15세이상관람가,드라마,장준환,"김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,유정호,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤,황성준,서현우,조민준,박지환,박명신,김푸름,이화룡,이창훈,이신성,김수진,박경혜,김국희,황정민,한준우,정승길,현봉식,강신철,한성천,나철,김승훈,정인기"
6,범죄도시,2017.10.3,"56,322,153,349",3.1%,"56,322,153,349","6,880,546","6,880,546","1,315","149,389",한국,한국,"(주)홍필름,(주)비에이엔터테인먼트","메가박스중앙(주)플러스엠,(주)키위미디어그룹",청소년관람불가,"범죄,액션",강윤성,"마동석,윤계상,조재윤,최귀화,박상규,유지연,최성재,이경원,이태규,진선규,허동원,김성규,박지환,오민애,허성태,이성우,민무제,한성천,홍기준,배진웅,정인기"
7,군함도,2017.7.26,"50,510,565,168",2.8%,"50,510,565,168","6,592,151","6,592,151","2,027","108,775",한국,한국,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),15세이상관람가,"액션,드라마",류승완,"황정민,김규백,명인호,소지섭,송중기,이정현,김수안,지웅배,손용범,박상호,박선,박선주,박영준,박정민,박준서,박준서,박혜민,성정훈,오정현,오형근,전창현,정규호,정부용,지재우,이다영,이동준,이상협,이선민,이세형,이윤2,최호영,이재민,이정민,이정은,이정현,이제훈,허승준,이준희,이지은,이지환,이태영,이하은,이하준,이경영,장성범,백승철,김준한,김고은,박성일,설준수,조경현,여윤호,이준혁,신희철,김동영,이정현,전배수"
8,청년경찰,2017.8.9,"44,382,020,516",2.4%,"44,382,020,516","5,653,444","5,653,444","1,102","118,547",한국,한국,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,김주환,"박서준,강하늘,박승호,성동일,박하선,한도진,정다은,김규백,이하준,이현일,임대현,박재홍,박정훈,장석진,서은지,서정우,서지원,신정화,조윤주,우상기,이강재,이다영,최광원,최지민,이도현,이상민,이세희,이수진,한재욱,이은비,이재웅,이정수,이주원,서정연,고준,전준영,이호정,배유람,이승희,류경수,정원중,이수인,김강현,최홍일"
9,안시성,2018.9.19,"46,335,334,026",2.6%,"46,335,334,026","5,440,186","5,440,186","1,540","110,439",한국,한국,"(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"사극,액션",김광식,"이태진,조인성,신현숙,남주혁,박성웅,김경희,배성우,엄태구,설현,박병은,오대환,성동일,정은채,유오성,김미지,여윤호,박인수,이승일,이현,이경재,이낙준,이동민,이상혁,이상호,이성욱,이세민,이승석,배유리,이승환,배준수,이원재,이은희,이은희,이인규,이정민,이정선,김종호,이준우,이진용,이태진,이호준,임동영,임상현,김현우,김현창,나대한,오진석,유병주,윤정열,문창준,박경관,임용순,박세준,정미경,정지훈,김한솔,정태영,조석현,조형래,조혜인,조혜인,김욱,김대현,김동민,김동진,김명준,김민혁,최희열,한명환,한아름,한정환,김이현,김원중,김세홍,강희중,주석태,손영순,장광"
10,더 킹,2017.1.18,"43,488,814,535",2.4%,"43,488,814,535","5,317,693","5,317,693","1,310","107,983",한국,한국,(주)우주필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,드라마",한재림,"조인성,정우성,배성우,김아중,류준열,김의성,김민재,정성모,정은채,김소진,황승언,이주연,정준용,박시영,임승묵,박정민,박지홍,박진영,장승연,손영진,안용우,유현종,이나경,이석호,한미진,이승민,이윤희,김원진,김규선,남명렬,이가경,차지원,차엽,오대환,이세랑,정원중,곽순우,금새록,김해나,정인기"
11,완벽한 타인,2018.10.31,"44,350,807,074",2.4%,"44,350,807,074","5,293,435","5,293,435","1,325","143,055",한국,한국,"(주)필름몬스터,드라마하우스(주)",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"드라마,코미디",이재규,"유해진,조진웅,이서진,염정아,김지수,송하윤,윤경호,지우,정민규,정지훈,조용진,최유화,조달환"
12,독전,2018.5.22,"43,485,551,113",2.4%,"43,485,551,113","5,063,684","5,063,684","1,532","140,007",한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션",이해영,"조진웅,류준열,김주혁,김성령,박해준,차승원,이주영,김태준,서현우,이경제,이민호,김재훈,백승환,이정철,이정호,김준형,이주영,이지민,안성봉,김태준,김태현,오현석,박성연,박예진,박은영,박정진,박종범,정여진,박진수,최성철,김대근,황기석,김양수,김선우,강승현,강지현,김누리,김동영,진서연,정가람,김동영,금새록,정준원"
13,공작,2018.8.8,"42,788,851,176",2.4%,"42,788,851,176","4,974,520","4,974,520","1,317","99,001",한국,한국,"(주)영화사 월광,(주)사나이픽처스",씨제이이앤엠(주),12세이상관람가,드라마,윤종빈,"황정민,이성민,조진웅,주지훈,김대현,이경호,이기용,이동희,이상원,이상현,박현민,박혜영,김재희,이승찬,이승환,이승훈,이은영,김정현,이재우,이재혁,김정호,김종수,김지나,서주연,손승훈,이창석,이창훈,이희경,김지혜,김지홍,김진영,김현중,김형기,김형우,정재헌,박진수,박진영,강주석,정혜경,조현수,강민지,김다솜,김대현,김미혜,최운진,최정인,최지현,최희열,김소진,김수연,김은아,김승희,김영진,김영훈,김용석,김우영,김우현,주해은,한창현,양현민,정기섭,민무제,한성천,금새록,김응수,최병모,손성찬,홍기준,정소리"
14,강철비,2017.12.14,"35,489,576,466",2.0%,"35,489,576,466","4,452,740","4,452,740","1,426","80,358",한국,한국,"(주)와이웍스엔터테인먼트,(주)모팩",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,드라마",양우석,"정우성,곽도원,김갑수,김의성,이경영,조우진,정원중,김명곤,박은혜,김지호,안미나,원진아,정유나,이상민,이정호,정환,한승헌,박민희,한창현,이양희,현봉식,손성찬"
15,꾼,2017.11.22,"31,313,568,795",1.7%,"31,313,568,795","4,018,341","4,018,341","1,314","117,419",한국,한국,(주)영화사두둥,(주)쇼박스,15세이상관람가,범죄,장창원,"현빈,유지태,배성우,박성웅,나나,안세하,최덕문,전보람,전헌태,유정호,이용희,이재남,이창호,김동철,황인범,차순배,염동헌,허성태,주석태,정민성,최홍일"
16,남한산성,2017.10.3,"31,225,419,792",1.7%,"31,225,419,792","3,849,129","3,849,129","1,229","71,102",한국,한국,(주)싸이런픽쳐스,씨제이이앤엠(주),15세이상관람가,"사극,드라마",황동혁,"이병헌,김윤석,박해일,고수,박희순,조우진,박주운,박지원,백동현,서병철,장정국,이정호,이호중,권효민,신희철,한창현,허성태"
17,암수살인,2018.10.3,"32,995,138,548",1.8%,"32,995,138,548","3,789,321","3,789,321","1,177","126,127",한국,한국,"(주)필름295,(주)블러썸픽쳐스",(주)쇼박스,15세이상관람가,"범죄,드라마",김태균,"김윤석,주지훈,문정희,진선규,이재현,이윤재,김종수,김지성,이현주,임병우,김진혁,김학준,윤성원,박성현,박진수,박진영,권회수,허진,김영웅,김윤석,배해선,이봉련,정기섭,이유준,원현준,김미경"
18,국가부도의 날,2018.11.28,"30,845,862,137",1.7%,"30,845,862,137","3,747,952","3,747,952","1,180","100,804",한국,한국,영화사 집,씨제이이앤엠(주),12세이상관람가,드라마,최국희,"김혜수,유아인,허준호,조우진,뱅상 카셀,이원희,이은주,손민석,손영진,이하윤,김진구,박경관,박재민,박재영,박정민,권훈,김기현,염혜란,최준영,조한철,한창현,엄효섭,장성범,동하,박진주,이양희,손성찬,전배수,백도겸"
19,그것만이 내 세상,2018.1.17,"27,454,117,382",1.5%,"27,454,117,382","3,419,753","3,419,753",956,"95,432",한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"코미디,드라마",최성현,"이병헌,윤여정,박정민,한지민,김성령,이주영,최리,이가경,이상준,박현주,이소정,이정호,이종승,이주영,이준석,안성봉,김현정,박상훈,박성훈,박소은,장혜리,정승환,박지연,박지훈,박지훈,조윤주,김동규,김민주,김유진,박지연,정윤하,오혜원"
20,아이 캔 스피크,2017.9.21,"25,545,020,986",1.4%,"25,545,020,986","3,282,271","3,282,271","1,140","93,061",한국,한국,"주식회사 영화사 시선,(주)명필름","롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",12세이상관람가,코미디,김현석,"나문희,이제훈,박철민,염혜란,성유빈,김소진,이상희,정연주,이지훈,손숙,박준서,이승민,이정현,홍상원,황연희,이재인,우지현,이신성,최수인,우상기,이대연,이정현,손성찬,정원창"
21,마녀,2018.6.27,"27,242,029,463",1.5%,"27,242,029,463","3,189,091","3,189,091","1,117","90,843",한국,한국,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",워너브러더스 코리아(주),15세이상관람가,"미스터리,액션",박훈정,"김다미,조민수,박희순,최우식,백승철,김하나,이강곤,이상용,백규현,김종면,김종훈,서영희,송민수,이주원,이채현,이하영,이혜성,남경민,모그,박상현,박상훈,박시현,장민재,정다은,박정수,정승채,정지민,김한솔,조제웅,진영준,권용석,김기훈,김미진,최정우,김상훈,김수현,김승우,김영원,김영민,김우주,고민시,권태원,현봉식,이기영"
22,탐정: 리턴즈,2018.6.13,"26,909,459,678",1.5%,"26,909,459,678","3,152,872","3,152,872","1,137","107,907",한국,한국,(주)크리픽쳐스,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",이언희,"권상우,성동일,이광수,서영희,이일화,남명렬,손담비,최성원,김동욱,박성일,오희준,이광호,이동민,이동민,이상철,서영희,심상민,엄진용,임승묵,박성연,임효우,박영식,정성호,정연주,정인영,박태강,정택호,조혜선,최광락,권혁석,김동욱,김미진,최재옥,홍광석,홍광석,김선간,김수영,김승필,김승필,김용호,김원진,김성규,김연교"
23,프리즌,2017.3.23,"23,790,276,987",1.3%,"23,790,276,987","2,931,897","2,931,897","1,047","89,024",한국,한국,(주)큐로홀딩스,(주)쇼박스,청소년관람불가,"범죄,액션",나현,"한석규,김래원,정웅인,조재윤,신성록,곽민호,박영준,임경욱,장한승,신영진,지동주,유정호,윤세현,천재성,이상민,이수민,이용직,이재수,이정수,이정훈,홍도성,김성종,연송하,이재균,차엽,서호철,현봉식,김승훈,배명진,전배수,홍기준"
24,너의 결혼식,2018.8.22,"23,676,244,369",1.3%,"23,676,244,369","2,820,969","2,820,969",970,"98,193",한국,한국,"(주)필름케이,(주)외유내강",메가박스중앙(주)플러스엠,12세이상관람가,멜로/로맨스,이석근,"박보영,김영광,강기영,장성범,고규필,서은수,차엽,안길강,이동석,이재상,서남윤,김준수,김지훈,김태환,김학준,김한슬,박규태,박성준,정난희,박종범,박주희,정유진,정주호,조영웅,김건중,홍근택,홍진기,김민석,김영훈,김성준,강희중,배해선,조성희,신희철,김현숙,안민영,전배수"
25,곤지암,2018.3.28,"21,442,194,144",1.2%,"21,442,194,144","2,675,575","2,675,575","1,124","88,477",한국,한국,(주)하이브미디어코프,(주)쇼박스,15세이상관람가,"공포(호러),스릴러",정범식,"위하준,박지현,오아연,문예원,박성훈,이승욱,유제윤,이주원,정아노마"
26,살인자의 기억법,2017.9.6,"21,375,287,492",1.2%,"21,375,287,492","2,658,589","2,658,589","1,064","88,686",한국,한국,"(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,영화사 이창",(주)쇼박스,15세이상관람가,"범죄,스릴러",원신연,"설경구,김남길,설현,오달수,이현명,장정윤,전동성,전동성,전동성,전승표,백연정,백연정,정동석,정동석,유지현,윤선용,추동우,함연주,이종건,박상욱,박상운,전승표,김정영,이병준,김혜윤"
27,지금 만나러 갑니다,2018.3.14,"20,800,916,128",1.1%,"20,800,916,128","2,602,273","2,602,273","1,191","97,482",한국,한국,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스,이장훈,"소지섭,손예진,김지환,고창석,이유진,김현수,배유람,이준혁,서정연,손여은,이진,이상철,이재환,이정민,변지은,김지민,송지연,이준성,김지호,김하은,유은성,박서준,정유민,정현우,차봉주,김경애,김민석,김선웅,김범준"
28,보안관,2017.5.3,"20,844,488,409",1.1%,"20,844,488,409","2,588,628","2,588,628","1,091","63,709",한국,한국,"(주)영화사 월광,(주)사나이픽처스",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,코미디",김형주,"이성민,조진웅,김성균,김종수,조우진,임현성,배정남,염진환,박윤호,박지훈,신지훈,이규섭,이동현,최형욱,이윤희,이정은,손여은,현봉식,손석배,배명진"
29,목격자,2018.8.15,"21,737,061,097",1.2%,"21,737,061,097","2,524,720","2,524,720","1,021","71,403",한국,한국,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,조규장,"이성민,김상호,진경,곽시양,이동희,김재철,이재남,이재우,이태호,이혜민,정유민,정택호,조아라,최정인,황인범,김자영,김수영,김상호,박지후,우상기,황영희,정재광"
30,조작된 도시,2017.2.9,"20,143,992,587",1.1%,"20,143,992,587","2,515,501","2,515,501","1,019","62,241",한국,한국,"(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트",씨제이이앤엠(주),15세이상관람가,"범죄,액션",박광현,"지창욱,심은경,안재홍,오정세,김상호,김민교,김기천,이하늬,박재민,박정환,박주현,박준규,박지홍,장민준,전영욱,정근수,정상문,신동호,신민철,정이삭,오준표,오지홍,조진규,윤성민,최경미,최경식,최창국,이민호,이민호,이상진,이석,이석,이수빈,한성관,이유진,이정훈,이정훈,이종혁,노남석,백승철,손강국,한지은,박지후,오재세,김슬기,박경혜,권태원,이성우"
31,조선명탐정: 흡혈괴마의 비밀,2018.2.8,"19,822,789,764",1.1%,"19,822,789,764","2,444,136","2,444,136","1,249","74,953",한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"사극,어드벤처,코미디",김석윤,"김명민,오달수,김지원,김범,이민기,지웅배,이대현,이소희,이재웅,백승진,이정민,김정화,서지은,김탁호,김태윤,김태희,김현주,류현상,민성주,박동석,전건익,전현우,박지선,김태호,박지현,김건,최유진,김미란,김상일,김영우,김영진,한성희,염동헌"
32,재심,2017.2.15,"19,266,319,637",1.1%,"19,266,319,637","2,421,197","2,421,197",935,"68,402",한국,한국,(주)이디오플랜,"오퍼스픽쳐스(유),CGV아트하우스",15세이상관람가,드라마,김태윤,"정우,강하늘,김해숙,이동휘,한재영,이경영,박희정,우상기,조해진,유지현,이다은,이동희,이동준,이승훈,한하늘,이정수,이정은,이종재,김진욱,김소진,김하나,최정헌,전소현,우상기,민진웅,김영재"
33,박열,2017.6.28,"18,095,295,795",1.0%,"18,095,295,795","2,359,497","2,359,497","1,176","78,501",한국,한국,(유)박열문화전문회사,메가박스중앙(주)플러스엠,12세이상관람가,드라마,이준익,"이제훈,최희서,김인우,권율,민진웅,이형석,박진성,배정환,서동기,정무진,정승채,조박,윤재국,이경수,이동욱,이병훈,이성규,이승환,이신우,이영상,이재성,이정현,이종민,홍준석,달시 파켓,김준한,최정헌,백수장,이정현,정준원"
34,마스터,2016.12.21,"18,283,595,800",1.0%,"58,068,236,865","2,215,266","7,150,586","1,245","56,141",한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"액션,범죄",조의석,"이병헌,강동원,김우빈,엄지원,박해수,오달수,진경,김정우,장한별,이승용,김대현,홍성덕,우도환,배정남,조현철,정원중,주석태,송영학"
35,명당,2018.9.19,"17,900,775,524",1.0%,"17,900,775,524","2,087,474","2,087,474","1,117","58,450",한국,한국,(주)주피터필름,메가박스중앙(주)플러스엠,12세이상관람가,사극,박희곤,"조승우,지성,김성균,백윤식,문채원,유재명,박충선,이원근,김민재,강태오,이가희,이규섭,이동희,이세희,이수아,이성훈,이승철,이유리,이정민,이정빈,이정현,김준영,이주연,이창석,김진혁,안성봉,김하림,박기태,임지은,정재용,정재헌,박지현,정한길,정혜경,조성환,최선호,김규선,김도연,김동규,김동현,김민재,최우석,홍은진,홍준호,김선문,김서현,김서연,김기태,허성태,전신환,손성찬"
36,협상,2018.9.19,"17,032,133,166",0.9%,"17,032,133,166","1,967,721","1,967,721",919,"57,926",한국,한국,"(주)제이케이필름,그리고픽처스,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,범죄,이종석,"현빈,손예진,김상호,장영남,장광,조영진,이문식,이현,이동희,김준영,김지성,이주영,이지훈,이주환,안성봉,김희진,유관형,박수영,장민정,박영수,박지훈,정재호,정지상,정휘욱,김보민,김선희,김송이,김유진,이학주,차래형,박형수,이시아,최병모"
37,노무현입니다,2017.5.25,"14,559,017,612",0.8%,"14,559,017,612","1,855,489","1,855,489",775,"61,330",한국,한국,영화사 풀,"CGV아트하우스,영화사 풀",12세이상관람가,다큐멘터리,이창재,"노무현,이상호"
38,마약왕,2018.12.19,"15,784,724,552",0.9%,"15,784,724,552","1,813,594","1,813,594","1,297","41,658",한국,한국,(주)하이브미디어코프,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"송강호,조정석,배두나,김소진,김대명,이희준,조우진,이성민,김홍파,김근영,강민석,강민수,김남우,김동환,김명희,김시원,김연주,김우진,김윤수,김정호,김주연,김주영,김주영,김준한,김준형,김지은,김형태,김혜진,김혜진,류대식,문상호,박미희,박선영,송원종,유승희,윤세현,이병희,이선민,이수정,이수현,이승진,이승찬,이시현,이영태,이영호,이은주,이재우,이재우,이주원,이지혜,이창훈,이현정,이호철,정재원,최준혁,한동희,한송희,한지혜,이봉련,한창현,박경혜,안다정"
39,임금님의 사건수첩,2017.4.26,"12,651,193,723",0.7%,"12,651,193,723","1,635,003","1,635,003","1,054","53,005",한국,한국,"(주)영화사람,씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠(주),12세이상관람가,"코미디,어드벤처,액션",문현성,"이선균,안재홍,김희원,주진모,장영남,경수진,정해인,조영진,박용균,박정민,박진욱,박형수,서병철,심상용,안용우,조제웅,유하나,윤기현,이상원,이승일,이승훈,이영호,이웅희,이재현,이재환,이정민,이주원,최용훈,김종훈,김정영,장문규,김응수,홍기준"
40,창궐,2018.10.25,"13,275,772,490",0.7%,"13,275,772,490","1,599,290","1,599,290","1,351","60,687",한국,한국,"리양필름(주),영화사 이창",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"사극,액션",김성훈,"현빈,장동건,조우진,정만식,이선빈,김의성,조달환,박진우,서지혜,한지은,공정환,김태우,이승일,이동훈,이상준,이상훈,이승주,배정환,이우성,이우정,이유진,이재남,이정민,이정민,김주혁,서지은,이진용,이창훈,이형원,김지수,김태경,김태윤,김태희,김하진,나대한,윤석동,민경옥,박경관,박성빈,임용순,장현,장윤정,정선희,정선희,박종범,정수연,박지아,박지원,정재훈,박태민,김현욱,김현욱,강정진,조민아,최규리,최아영,김다연,김다연,김대현,최재영,한아름,한지혜,한지혜,편광진,황원일,김성태,김은진,김수지,김승환,김성준,김성규,김제형,오재세,한성희,허성태,허준석"
41,성난황소,2018.11.22,"13,236,490,737",0.7%,"13,236,490,737","1,593,386","1,593,386","1,010","48,932",한국,한국,"주식회사 플러스미디어엔터테인먼트,(주)비에이엔터테인먼트",(주)쇼박스,15세이상관람가,"범죄,액션",김민호,"마동석,송지효,김성오,김민재,박지환,이동진,이세영,박혜림,김재철,이연주,신수경,이창훈,김흥태,노성후,장혁진,박지훈,박진성,김산,김민재,김수진,김용빈,김수진,이성우,배진웅,정인기,최홍일"
42,도어락,2018.12.5,"12,792,097,886",0.7%,"12,792,097,886","1,559,616","1,559,616",954,"53,732",한국,한국,(주)영화사피어나,메가박스중앙(주)플러스엠,15세이상관람가,"스릴러,드라마",이권,"공효진,김예원,김성오,조복래,이가섭,이천희,김동규,김보경,김유정,김지한,김지현,백민준,이상희,이승창,장효석,한지은,배유리,배명진,차엽"
43,리틀 포레스트,2018.2.28,"11,929,202,185",0.7%,"11,929,202,185","1,506,269","1,506,269",884,"68,414",한국,한국,(주)영화사수박,메가박스중앙(주)플러스엠,전체관람가,드라마,임순례,"김태리,류준열,문소리,진기주,홍성덕,이광용,이상준,김재훈,이유진,김정은,김주은,이태영,김지윤,김현지,오수엽,박미현,박민지,박성준,임정희,박수현,박정희,박종찬,김혁,김호,강민지,김다정,김동혁,김명희,최원석,최혜림,김소정,김수현,김은영,김예슬,전국향,장재희,정준원"
44,부라더,2017.11.2,"11,783,109,998",0.6%,"11,783,109,998","1,492,903","1,492,903",889,"54,976",한국,한국,"(주)홍필름,(주)수필름",메가박스중앙(주)플러스엠,12세이상관람가,코미디,장유정,"마동석,이동휘,이하늬,류정수,배준수,석정호,신은영,안백승,안승주,채지혜,이성은,이수민,이은정,한명순,이재민,이하은,황인주,황종환,김근영,이봉련,허성태,손영순,서현철,김강현"
45,기억의 밤,2017.11.29,"10,653,271,160",0.6%,"10,653,271,160","1,387,779","1,387,779",759,"53,003",한국,한국,(주)비에이엔터테인먼트,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",15세이상관람가,"미스터리,스릴러",장항준,"강하늘,김무열,문성근,나영희,최고,박윤식,박재영,이동근,이동진,이승용,남명렬,김현목,이성우,이나라,안민영"
46,골든슬럼버,2018.2.14,"11,412,768,798",0.6%,"11,412,768,798","1,387,508","1,387,508",833,"42,991",한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",노동석,"강동원,김의성,한효주,김성균,김대명,윤계상,이준혁,정소민,최우식,유재명,차순배,김시은,이강희,이경훈,이상원,박혜영,김재영,방한솔,이승민,이예림,김종호,손영진,신경철,이진구,이하늘,김지희,김지희,김진성,오기환,남은정,박다은,박서연,박성희,박시은,박은영,전한나,박정민,정신영,정연주,박지선,박지현,조영진,김건,최재호,최진호,최혜영,한대훈,황준혁,김소정,김수영,김우진,김시은,김승호,김유정,오륭,염혜란,박건아,노수산나,이학주,우상기,원현준,김승훈,김미경"
47,브이아이피,2017.8.23,"10,956,621,835",0.6%,"10,956,621,835","1,373,316","1,373,316",996,"44,650",한국,한국,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",워너브러더스 코리아(주),청소년관람불가,"범죄,드라마",박훈정,"강소백,장동건,김명민,박희순,이종석,임보라,박재웅,박준서,박준호,신수정,안세진,조청원,지성훈,최상재,최우진,이상민,이윤하,이주원,김대현,오대환,이서준,현봉식,이정혁"
48,특별시민,2017.4.26,"10,494,768,945",0.6%,"10,494,768,945","1,362,634","1,362,634","1,154","46,377",한국,한국,(주)팔레트픽처스,(주)쇼박스,15세이상관람가,드라마,박인제,"최민식,곽도원,심은경,문소리,라미란,류혜영,이기홍,진선규,권용덕,이주연,이준범,박지연,정병욱,정병진,신동필,정성호,신중혁,정연서,이상구,이상준,이수경,이영민,이윤희,이재현,홍윤기,마동석,서이숙,정재윤,강기영,이성우,강신철,박지연,김수안"
49,궁합,2018.2.28,"10,478,875,438",0.6%,"10,478,875,438","1,340,117","1,340,117",966,"52,427",한국,한국,(주)주피터필름,씨제이이앤엠(주),12세이상관람가,"코미디,드라마",홍창표,"심은경,이승기,김상경,연우진,강민혁,최우식,조복래,최민호,박선영,이한서,윤송아,이선빈,이동희,이상진,이소현,이수연,이수연,이슬아,김정겸,배지혜,이영수,이정현,이주연,이지민,신혜경,김탁호,김태환,유다영,유다영,윤예원,윤유선,민성주,장지선,정민규,정인영,정재훈,김필수,강현우,조성환,최민호,김욱,최우진,최준호,김보경,김서현,안지호,김성훈,김상혁,조수향,박진주,이정현,손성찬,박호산"
50,사라진 밤,2018.3.7,"10,697,981,316",0.6%,"10,697,981,316","1,315,726","1,315,726",925,"60,087",한국,한국,"(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",씨네그루(주)키다리이엔티,15세이상관람가,스릴러,이창희,"김상경,김강우,김희애,서현우,이민지,이윤재,이지훈,김지영,최윤석,류경수,현봉식"
51,장산범,2017.8.17,"10,341,783,083",0.6%,"10,341,783,083","1,306,438","1,306,438",711,"34,769",한국,한국,(주)드림캡쳐,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"미스터리,스릴러",허정,"염정아,박혁권,허진,신린아,방유설,이준혁,이달,이주원,장리우,정지훈,노수산나,김수안"
52,스윙키즈,2018.12.19,"10,308,565,602",0.6%,"10,308,565,602","1,258,811","1,258,811",984,"32,237",한국,한국,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,강형철,"도경수,박혜수,자레드 그라임스,오정세,김민호,강성호,고창희,김건우,김동현,김민재,김수민,김시원,김유리,김은주,김종원,김지수,김지현,김지혜,김태윤,김태형,김하늘,나경진,박상필,박준수,신지훈,안희진,이동현,이상훈,이승철,이승훈,이승훈,이재석,이정현,이태영,장지훈,전민정,전재형,최민우,송재룡,주해은,박진주,박형수,이규성,강길우"
53,악녀,2017.6.8,"9,739,662,144",0.5%,"9,739,662,144","1,208,081","1,208,081",685,"46,070",한국,한국,(주)앞에있다,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,액션,정병길,"김옥빈,신하균,성준,김서형,조은지,이승주,정해균,박철민,손민지,민예지,김연우,주문수,임도현,박지훈,박현민,백동현,장현기,정성윤,신중혁,신진철,정태수,차미진,윤인제,윤진영,이강우,이동희,이상진,이상철,이승철,이주현,홍준선,황성호,문지현,김해나"
